unit_id,chapter,section,title,pdf_start,pdf_end,printed_start,printed_end,status,notes
front_matter,,,封面、版权页、目录,1,8,,,processed-draft,"Front matter before Chapter 1; includes cover, copyright page, and scanned TOC. Processed clean summary in front_matter/front_matter_clean.txt."
front_cover,,,封面,1,1,,,processed-draft,"Cover page; library barcode/stamp and image content excluded from clean reading text."
copyright_page,,,版权页,2,2,,,processed-draft,"Copyright/CIP page; bibliographic fields manually corrected from PDF image."
toc,,,目录,3,8,,,processed-draft,"Scanned table of contents; structured rows processed in sources/table_of_contents.csv."
chapter_01,1,,苏共“20大”的震动,9,41,1,33,ocr-draft,"Chapter title from programthink Google Doc; printed start from scanned TOC; PDF offset +8 confirmed by Chapter 1/2 boundary."
chapter_02,2,,苏波关系与匈牙利事件,42,99,34,91,toc-mapped,"Chapter title from programthink Google Doc; printed start from scanned TOC."
chapter_03,3,,1957年莫斯科会议,100,163,92,155,toc-mapped,"Chapter title from programthink Google Doc; printed start from scanned TOC."
chapter_04,4,,戴维营会谈前后,164,243,156,235,toc-mapped,"Chapter title from programthink Google Doc; printed start from scanned TOC."
chapter_05,5,,突然袭击,244,308,236,300,toc-mapped,"Chapter title from programthink Google Doc; printed start from scanned TOC."
chapter_06,6,,回顾与决策,309,351,301,343,toc-mapped,"Chapter title from programthink Google Doc; printed start from scanned TOC."
chapter_07,7,,斗争与妥协,352,459,344,451,toc-mapped,"Chapter title from programthink Google Doc; printed start from scanned TOC."
chapter_08,8,,赫鲁晓夫再度挑战,460,498,452,490,toc-mapped,"Chapter title from programthink Google Doc; printed start from scanned TOC."
chapter_09,9,,走向公开论战,499,549,491,541,toc-mapped,"Chapter title from programthink Google Doc; printed start from scanned TOC."
chapter_10,10,,两条总路线,550,600,542,592,toc-mapped,"Chapter title from programthink Google Doc; printed start from scanned TOC."
chapter_11,11,,中苏两党会谈,601,638,593,630,toc-mapped,"Chapter title from programthink Google Doc; printed start from scanned TOC."
chapter_12,12,,公开大论战,639,695,631,687,toc-mapped,"Chapter title from programthink Google Doc; printed start from scanned TOC."
chapter_13,13,,难为的调停,696,731,688,723,toc-mapped,"Chapter title from programthink Google Doc; printed start from scanned TOC."
chapter_14,14,,新的反华运动,732,784,724,776,toc-mapped,"Chapter title from programthink Google Doc; printed start from scanned TOC."
chapter_15,15,,形势急转直下,785,836,777,828,toc-mapped,"Chapter title from programthink Google Doc; printed start from scanned TOC."
chapter_16,16,,赫鲁晓夫下台,837,915,829,907,toc-mapped,"Chapter title from programthink Google Doc; printed start from scanned TOC."
chapter_17,17,,走向分而不裂,916,948,908,940,toc-mapped,"Chapter title from programthink Google Doc; final body page verified at PDF page 948; PDF pages 949-950 are metadata/bookmark pages."
chapter_01_section_01,1,1,“破题”,9,14,1,6,ocr-draft,"Section title and start page from scanned TOC and PDF page 9."
chapter_01_section_02,1,2,评论赫鲁晓夫报告,15,19,7,11,ocr-draft,"Section title and start page from scanned TOC; OCR reads title incorrectly in places."
chapter_01_section_03,1,3,怎样看待斯大林,20,27,12,19,ocr-draft,"Section title and start page from scanned TOC; OCR title is badly damaged on PDF page 20."
chapter_01_section_04,1,4,探索正确道路,28,31,20,23,ocr-draft,"Section title and start page from scanned TOC."
chapter_01_section_05,1,5,文章的要点,32,37,24,29,ocr-draft,"Section title and start page from scanned TOC; PDF page 37 OCR is especially noisy."
chapter_01_section_06,1,6,必要的说明,38,41,30,33,ocr-draft,"Section title and start page from scanned TOC; section title visible in OCR on PDF page 38."
