阅读词表
来源文件：/Users/ruixingshi/Python/automate_study_hub3e22/practice/liaozhai_stories/yingning/yingning.txt
检出条目数：116

序号	字/词	拼音	简注	出现次数	原文词例
1	莒	jǔ	古地名；文中指莒州。	1	王子服，莒之罗店人，早孤。
2	入泮	rù pàn	旧时称童生考中秀才。	1	绝惠，十四入泮。
3	求凰	qiú huáng	比喻男子求偶或求婚。	1	聘萧氏，未嫁而夭，故求凰未就也。
4	上元	shàng yuán	元宵节。	4	会上元，有舅氏子吴生，邀同眺瞩。
5	眺瞩	tiào zhǔ	远望、观赏。	1	会上元，有舅氏子吴生，邀同眺瞩。
6	遨	áo	游玩、漫游。	1	生见游女如云，乘兴独遨。
7	婢	bì	婢女、丫鬟。	13	有女郎携婢，撚梅花一枝，容华绝代，笑容可掬。
8	撚	niǎn	同“捻”，用手指搓捏。	3	有女郎携婢，撚梅花一枝，容华绝代，笑容可掬。
9	可掬	kě jū	可以用手捧取；形容笑容满面。	1	有女郎携婢，撚梅花一枝，容华绝代，笑容可掬。
10	数武	shù wǔ	几步；武，半步或一步。	1	女过去数武，顾婢曰：“个儿郎目灼灼似贼！
11	怅然	chàng rán	失意、惆怅的样子。	1	生拾花怅然，神魂丧失，怏怏遂返。
12	怏怏	yàng yàng	不高兴、郁郁不乐。	1	生拾花怅然，神魂丧失，怏怏遂返。
13	醮禳	jiào ráng	设坛祈祷、祛灾求福。	1	醮禳益剧，肌革锐减。
14	锐减	ruì jiǎn	急剧减少。	1	醮禳益剧，肌革锐减。
15	诘	jié	追问、责问。	4	适吴生来，嘱密诘之。
16	谐	xié	成就、成功；文中指婚事可成。	2	如其未字，事固谐矣，不然，拚以重赂，计必允遂。
17	痊瘳	quán chōu	病愈。	1	但得痊瘳，成事在我。
18	解颐	jiě yí	开颜而笑。	1	”生闻之，不觉解颐。
19	物色	wù sè	访求、寻找。	2	吴出告母，物色女子居里，而探访既穷，并无踪绪。
20	绐	dài	欺骗。	1	吴绐之曰：“已得之矣。
21	诡	guǐ	欺瞒、假托。	1	”吴诡曰：“西南山中，去此可三十馀里。
22	馀	yú	同“余”，多、剩余。	3	”吴诡曰：“西南山中，去此可三十馀里。
23	柬	jiǎn	书信、名帖。	1	怪吴不至，折柬招之。
24	恚	huì	怨恨、恼怒。	1	吴支托不肯赴召，生恚怒，悒悒不欢。
25	悒悒	yì yì	忧郁不乐。	1	吴支托不肯赴召，生恚怒，悒悒不欢。
26	商搉	shāng què	商量、斟酌。	1	母虑其复病，急为议姻，略与商搉，辄摇首不愿，惟日盼吴。
27	辄	zhé	就、总是。	6	母虑其复病，急为议姻，略与商搉，辄摇首不愿，惟日盼吴。
28	迄	qì	至、到；终究。	1	吴迄无耗，益怨恨之。
29	合沓	hé tà	重叠聚合的样子。	1	约三十馀里，乱山合沓，空翠爽肌，寂无人行，止有鸟道。
30	里落	lǐ luò	村落。	1	遥望谷底，丛花乱树中，隐隐有小里落。
31	格磔	gé zhé	鸟鸣声。	1	北向一家，门前皆丝柳，墙内桃杏尤繁，间以修竹，野鸟格磔其中。
32	遽	jù	急忙、仓促。	4	意其园亭，不敢遽入。
33	伫	zhù	久立。	1	方伫听间，一女郎由东而西，执杏花一朵，俛首自簪。
34	俛首	fǔ shǒu	低头；“俛”通“俯”。	1	方伫听间，一女郎由东而西，执杏花一朵，俛首自簪。
35	日昃	rì zè	太阳偏西。	1	门内无人可问，坐卧徘徊，自朝至于日昃，盈盈望断，并忘饥渴。
36	媪	ǎo	老妇人。	24	忽一老媪扶杖出，顾生曰：“何处郎君，闻自辰刻便来，以至于今。
37	聋聩	lóng kuì	耳聋；也可比喻昏聩。	1	”媪聋聩不闻。
38	啖	dàn	吃；给人吃。	2	不如从我来，啖以粗粝，家有短榻可卧。
39	粗粝	cū lì	粗糙的饭食。	1	不如从我来，啖以粗粝，家有短榻可卧。
40	腹馁	fù něi	饥饿。	1	”生方腹馁思啖，又从此渐近丽人，大喜。
41	裀藉	yīn jiè	垫褥、铺垫。	1	肃客入舍，粉壁光明如镜，窗外海棠枝朵，探入室中，裀藉几榻，罔不洁泽。
42	罔	wǎng	无、没有。	2	肃客入舍，粉壁光明如镜，窗外海棠枝朵，探入室中，裀藉几榻，罔不洁泽。
43	甫	fǔ	刚刚、才。	1	甫坐，即有人自窗外隐约相窥。
44	宗阀	zōng fá	家族门第。	1	坐次，具展宗阀。
45	窭贫	jù pín	贫穷。	1	年来以家窭贫，又无三尺男，遂至音问梗塞。
46	梗塞	gěng sè	阻隔不通。	1	年来以家窭贫，又无三尺男，遂至音问梗塞。
47	诞育	dàn yù	生育。	1	”媪曰：“老身秦姓，并无诞育。
48	弱息	ruò xī	幼弱的子女。	1	弱息仅存，亦为庶产，渠母改醮，遗我鞠养。
49	庶产	shù chǎn	妾所生的子女。	1	弱息仅存，亦为庶产，渠母改醮，遗我鞠养。
50	鞠养	jū yǎng	抚养、养育。	1	弱息仅存，亦为庶产，渠母改醮，遗我鞠养。
51	嗤嗤	chī chī	笑声。	1	”户外嗤嗤笑不已。
52	遏	è	止住、抑制。	1	婢推之以入，犹掩其口，笑不可遏。
53	瞋	chēn	睁大眼睛发怒。	1	媪瞋目曰：“有客在，咤咤叱叱，是何景象？
54	咤咤叱叱	zhà zhà chì chì	吵闹喧笑的样子。	1	媪瞋目曰：“有客在，咤咤叱叱，是何景象？
55	裁	cái	通“才”，仅仅。	1	年已十六，呆痴裁如婴儿。
56	庚午	gēng wǔ	干支纪年之一。	1	”曰：“阿甥已十七矣，得非庚午属马者耶？
57	不遑	bù huáng	来不及、没有闲暇。	1	”生无语，目注婴宁，不遑他瞬。
58	襆被	pú bèi	整理被褥；也指包裹被褥。	1	媪亦起，唤婢襆被，为生安置。
59	糁	sǎn	散落、撒下。	1	次日，至舍后，果有园半亩，细草铺毡，杨花糁径，有草舍三楹，花木四合其所。
60	楹	yíng	房屋一间。	1	次日，至舍后，果有园半亩，细草铺毡，杨花糁径，有草舍三楹，花木四合其所。
61	苏苏	sū sū	细碎声；风吹叶动声。	1	穿花小步，闻树头苏苏有声，仰视，则婴宁在上，见生来，狂笑欲堕。
62	阴捘	yīn zùn	暗中捏、掐。	1	生扶之，阴捘其腕，女笑又作，倚树不能行，良久乃罢。
63	靳惜	jìn xī	吝惜。	1	至戚何所靳惜？
64	葭莩	jiā fú	芦苇内薄膜；比喻疏远亲戚。	1	”女曰：“葭莩之情，爱何待言。
