term,pinyin,annotation,type
校之以计,jiào zhī yǐ jì,用比较衡量的办法分析敌我条件；校读 jiào。,classical_phrase
将孰有能,jiàng shú yǒu néng,哪一方的将帅更有才能。,classical_phrase
法令孰行,fǎ lìng shú xíng,哪一方的法令贯彻得更好。,classical_phrase
庙算,miào suàn,古代出兵前在宗庙进行的战略谋划。,classical_word
千驷,qiān sì,一千辆四马战车；驷指四马驾一车。,classical_word
千乘,qiān shèng,一千辆兵车；乘在此读 shèng。,classical_word
馈粮,kuì liáng,运送军粮。,classical_word
钝兵挫锐,dùn bīng cuò ruì,军队疲惫，锐气受挫。,classical_phrase
轒辒,fén yūn,古代攻城用的有顶战车。,rare_word
蔽橹,bì lǔ,遮蔽箭石的大盾或攻城器具。,rare_word
以碫投卵,yǐ duàn tóu luǎn,用磨刀石击卵，比喻以实击虚。,classical_phrase
纷纷纭纭,fēn fēn yún yún,众多杂乱的样子。,classical_word
浑浑沌沌,hún hún dùn dùn,浑厚混沌、难以穷尽的样子。,classical_word
佚,yì,安逸；通“逸”。,classical_word
圮地,pǐ dì,难以通行、形势不利的地区。,rare_word
衢地,qú dì,四通八达、连接多国的地区。,rare_word
隘形,ài xíng,狭窄险要的地形。,classical_word
挂形,guà xíng,容易前进却难以返回的地形。,classical_word
火辎,huǒ zī,焚烧敌军辎重。,classical_word
箕、壁、翼、轸,jī、bì、yì、zhěn,古代二十八宿中的四个星宿。,classical_phrase
乡间,xiāng jiàn,利用本乡人充当的间谍；乡读 xiāng。,classical_word
内间,nèi jiàn,利用敌方官员充当间谍。,classical_word
反间,fǎn jiàn,利用敌方间谍反为己用。,classical_word
死间,sǐ jiàn,故意传递假情报并可能牺牲的间谍。,classical_word
生间,shēng jiàn,能够返回报告情报的间谍。,classical_word
