阅读词表
来源文件：epilogue/epilogue_clean.txt
检出条目数：21

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	周公	zhōu gōng	person	周公旦，周初政治家。	86	尾声：周公到孔子
2	孔子	kǒng zǐ	person	春秋时期思想家、教育家，儒家学派的重要奠基者。	74	尾声：周公到孔子
3	神权	shén quán	concept	以神灵或宗教权威支配社会政治生活的权力形态。	4	和同期的其他古代人类文明一样， 它们都属于神权与王权合一、宗教主导的社会。
4	华夏文明	huá xià wén míng	concept	在中国早期历史中逐渐形成和发展的文明传统。	6	...夏旧文明戛然而止， 取代它的， 是周公营造的新华夏文明。周公消灭了旧华夏文明及其相关记忆...
5	儒家	rú jiā	concept	以孔子思想及相关经典传统为核心的学派。	9	儒家起源与人祭文明
6	尚书	shàng shū	text	保存上古政治文献和诰命的儒家经典。	13	这主要体现在《尚书》的几篇诰命中：
7	诗经	shī jīng	text	中国古代诗歌总集，儒家经典之一。	6	...， 无言无行， 不容易被赋予拟人化的个性。在《诗经》里， 上帝曾频频给文王下达命令， 如命令...
8	忖度	cǔn duó	rare_word	估量、推测；“度”在这里读 duó。	1	他人有心， 予忖度之。
9	春秋	chūn qiū	text	孔子时代相关的编年史经典。	17	...虑的， 我设身处地想一下也就知道了。再到春秋晚期， 孔子则用了一个字来定义人和人之间...
10	易经	yì jīng	text	以六十四卦及卦爻辞为主体的古代经典。	33	如何掩盖《易经》的本意
11	象传	xiàng zhuàn	text	《易传》中解释卦象和爻象的篇章。	7	...具体方法则是在文王创作的卦爻辞后面加上一段象传进行说明。象传不再鼓励任何投机和以下犯...
12	佾	yì	rare_word	古代乐舞的行列；《八佾》为《论语》篇名。	1	吾从周（《论语•八佾》）这都和周公奠定的官方历史论调完全相同。
13	韦编三绝	wéi biān sān jué	idiom	形容反复研读典籍、十分勤奋。	3	...结果编竹简的皮条磨损严重， 经常断裂， 所谓“韦编三绝”。孔子晚而喜易， 序彖、系、象...
14	易传	yì zhuàn	text	解释《易经》的传文总称。	4	司马迁认为，《易传》里的《系辞》是孔子所作。
15	服膺	fú yīng	rare_word	铭记在心并衷心信服。	1	这或许才是他衷心服膺周公的根本原因。
16	六经	liù jīng	text	传统所称《诗》《书》《礼》《乐》《易》《春秋》。	15	附录：孔子晚年编辑“六经”
17	周易	zhōu yì	text	《易经》与后世《易传》合称的经典。	2	其中，《诗经》《尚书》《易经》包含大量商周易代时期的史料。
18	逸周书	yì zhōu shū	text	保存周代逸篇和历史材料的古书。	3	...抄写和校勘， 也形成了一个汇编本， 被命名为《逸周书》， 意思是“未能收入《尚书•周书》的...
19	神权退场	shén quán tuì chǎng	concept	宗教神权不再主导社会和政治生活。	1	概而言之， 周公时代变革的最大结果， 是神权退场， 这让中国的文化过于“早熟”；
20	贵族政治	guì zú zhèng zhì	concept	由世袭贵族掌握主要权力的政治形态。	1	...过于“早熟”。而在其他诸人类文明中， 神权和贵族政治的退场， 都发生在公元1500年之后...
21	诠释	quán shì	rare_word	解释并阐明意义。	1	...”等古文献掩盖和误读的历史真实， 才得到重新诠释与复原。我们被考古学改变的认知， 不...
