term,pinyin,type,annotation
廉颇,lián pō,person,战国时期赵国名将。
蔺相如,lìn xiàng rú,person,战国时期赵国大臣；以完璧归赵、渑池之会著称。
缪贤,miào xián,person,赵国宦者令；“缪”在此人名中读 miào。
和氏璧,hé shì bì,artifact,著名宝玉；文中为秦赵交涉的核心。
斧质,fǔ zhì,artifact,古代刑具；也写作“鈇质”。
驩,huān,rare_word,同“欢”；文中指两国间的友好关系。
列观,liè guàn,concept,一般的宫殿台观；文中表示接见礼节不隆重。
睨,nì,rare_word,斜视；文中指相如持璧看向柱子。
九宾,jiǔ bīn,concept,古代外交中隆重的接见礼仪。
汤镬,tāng huò,artifact,古代用鼎镬烹人的酷刑。
渑池,miǎn chí,place,战国时地名；秦赵两王在此会盟。
缻,fǒu,rare_word,同“缶”；瓦制乐器或盛器。
刎颈之交,wěn jǐng zhī jiāo,idiom,可以同生死、共患难的朋友。
阏与,yù yǔ,place,战国时地名；赵奢在此大败秦军。
鈇质,fū zhì,artifact,古代腰斩用的斧和砧板。
彀者,gòu zhě,concept,能够张弓射箭的弓手。
莫府,mù fǔ,office,同“幕府”；将帅处理军政事务的机构。
襜褴,chān lán,place_or_group,古代北方族群名。
胶柱而鼓瑟,jiāo zhù ér gǔ sè,idiom,把瑟柱粘住再弹奏；比喻拘泥成法、不知变通。
肉袒负荆,ròu tǎn fù jīng,idiom,袒露上身、背着荆条；表示主动认错请罪。
倨,jù,added,傲慢；“礼节甚倨”指接见礼节十分怠慢。
度,duó,added,"度 duó
动 揣测；估计。
以己度人 | 审时度势 | 揣度 | 忖度
另见 dù。"
毋,wú,added,"毋 wú
①副 〈文〉表示禁止或劝阻，相当于“不要” “不可”。
临财毋苟得，临难毋苟免 | 宁缺毋滥
②名 姓。
用法说明 ㊀不读 wù。㊁笔顺是毋，4画。㊂跟“毌（guàn）”的形、音、义都不同。㊃见“勿”。"
怿,yì,added,"怿 yì （懌）
〈文〉
形 喜悦；愉快。"
雠,chóu,added,"雠 chóu （讎）（讐）
①名 〈文〉势不两立的一方；对手。
仇雠
②动 校对；校勘。
校雠 | 雠定（校勘审定）。
用法说明 用于其他意义时，“讎”是“仇（chóu）”的异体字。
另见 chóu“仇”。"
齮,yǐ,added,咬；文中“桓齮”为秦将姓名。
梠,lǚ,added,梠（拼音：lǚ，注音：ㄌㄩˇ）是一個罕見的漢字，本義為屋檐或安裝在屋檐上用以連接屋椽的橫木。詳細字義與資料可參考 百度百科與 識典古籍平台。基本字義讀音：拼音為 lǚ，部首為「木」部。釋義：指屋檐、房頂邊緣的木頭，或指連接屋椽的橫木，通「楣」。亦可通「稆」，指野生的穀物。
