term,pinyin,type,annotation
苏共“20大”,sū gòng èr shí dà,event,1956年苏联共产党第二十次代表大会。
赫鲁晓夫,hè lǔ xiǎo fū,person,苏联领导人，苏共二十大秘密报告的作报告者。
秘密报告,mì mì bào gào,concept,指赫鲁晓夫在苏共二十大后作的关于斯大林问题的报告。
斯大林,sī dà lín,person,苏联领导人，中苏论战和本章讨论的核心人物之一。
颐年堂,yí nián táng,place,中南海内会议地点，本章多次出现。
毛主席,máo zhǔ xí,person,文中对毛泽东的称呼。
刘少奇,liú shào qí,person,中共中央领导人。
周恩来,zhōu ēn lái,person,中共中央领导人、国务院总理。
朱德,zhū dé,person,中共中央领导人。
陈云,chén yún,person,中共中央领导人。
邓小平,dèng xiǎo píng,person,当时任中共中央秘书长。
张闻天,zhāng wén tiān,person,中共中央领导人，曾长期从事外交和理论工作。
王稼祥,wáng jià xiáng,person,中共中央领导人，曾任驻苏大使。
杨尚昆,yáng shàng kūn,person,当时任中央办公厅主任。
任弼时,rèn bì shí,person,中共七大选出的中央书记处成员之一。
高岗,gāo gǎng,person,曾任东北局负责人，后发生高岗事件。
饶漱石,ráo shù shí,person,曾任华东局负责人，后发生高饶事件。
习仲勋,xí zhòng xūn,person,曾任西北局负责人。
中央书记处,zhōng yāng shū jì chù,organization,中共中央重要决策机构。
中央政治局,zhōng yāng zhèng zhì jú,organization,中共中央领导机构。
政治局常委,zhèng zhì jú cháng wěi,organization,中央政治局常务委员会。
《人民日报》,rén mín rì bào,text,中共中央机关报。
《红旗》,hóng qí,text,中共中央理论刊物。
《关于无产阶级专政的历史经验》,guān yú wú chǎn jiē jí zhuān zhèng de lì shǐ jīng yàn,text,1956年4月发表的重要文章。
个人崇拜,gè rén chóng bài,concept,本章讨论斯大林评价时的核心概念。
大国主义,dà guó zhǔ yì,concept,文中用于批评苏共处理兄弟党关系的概念。
大国沙文主义,dà guó shā wén zhǔ yì,concept,强调大国对小国或兄弟党的支配姿态。
马克思列宁主义,mǎ kè sī liè níng zhǔ yì,concept,本章政治理论论述中的核心术语。
无产阶级专政,wú chǎn jiē jí zhuān zhèng,concept,《关于无产阶级专政的历史经验》题名中的关键概念。
兄弟党,xiōng dì dǎng,concept,社会主义阵营中共产党之间的惯用称呼。
