term,pinyin,type,annotation
中衍,zhōng yǎn,person,赵氏与秦共同祖先之一，商代为帝太戊御者。
蜚廉,fēi lián,person,商末人物，恶来与季胜之父。
造父,zào fǔ,person,周穆王御者，因功受封赵城，赵氏由此得氏。
骅骝,huá liú,artifact,古代骏马名。
绿耳,lǜ ěr,artifact,周穆王八骏之一。
周缪王,zhōu mù wáng,person,即周穆王；“缪”通“穆”。
赵衰,zhào cuī,person,晋文公重耳的重要谋臣，赵氏宗主。
重耳,chóng ěr,person,晋文公名，流亡十九年后返晋即位。
赵盾,zhào dùn,person,赵衰之子，晋国正卿，谥宣孟。
熊蹯,xióng fán,artifact,熊掌；古代珍贵食物。
胹,ér,rare_word,煮、烹煮。
扞,hàn,rare_word,同“捍”，护卫、抵御。
屠岸贾,tú àn gǔ,person,晋国司寇，发动下宫之难诛赵氏。
韩厥,hán jué,person,晋臣，保护赵氏孤儿并助赵武复立。
公孙杵臼,gōng sūn chǔ jiù,person,赵朔门客，为保护赵氏孤儿赴死。
程婴,chéng yīng,person,赵朔友人，保护并抚养赵氏孤儿。
文葆,wén bǎo,artifact,有文饰的襁褓。
赵氏孤儿,zhào shì gū ér,concept,赵朔遗腹子赵武及其获救复宗故事。
赵武,zhào wǔ,person,赵朔遗腹子，后恢复赵氏宗族与封邑。
赵简子,zhào jiǎn zǐ,person,赵鞅，春秋末年赵氏宗主。
董安于,dǒng ān yú,person,赵简子家臣，参与经营晋阳并平定赵氏内难。
晋阳,jìn yáng,place,赵氏重要根据地，今山西太原一带。
赵襄子,zhào xiāng zǐ,person,赵无恤，赵简子继承人，联合韩魏灭智氏。
知伯,zhì bó,person,即智伯、智瑶，晋卿，围晋阳后败亡。
与韩、魏分晋,yǔ hán wèi fēn jìn,concept,赵与韩、魏瓜分晋国并列为诸侯的历史事件。
武灵王,wǔ líng wáng,person,推行胡服骑射、拓展赵国疆域的赵国君主。
胡服骑射,hú fú qí shè,concept,改穿胡服并训练骑兵射箭的军事改革。
中山,zhōng shān,place,战国诸侯国，后为赵所灭。
主父,zhǔ fù,office,赵武灵王传位后自号，表示国君之父。
沙丘,shā qiū,place,赵武灵王晚年被围困而死之地。
李兑,lǐ duì,person,赵国大臣，沙丘之乱的重要参与者。
廉颇,lián pō,person,赵国名将，战国四大名将之一。
蔺相如,lìn xiàng rú,person,赵国上卿，以完璧归赵、渑池会著名。
赵奢,zhào shē,person,赵国名将，阏与之战大破秦军，号马服君。
长平,cháng píng,place,秦赵长平之战所在地。
触龙,chù lóng,person,赵国左师，以长安君入质劝说赵太后。
长安君,cháng ān jūn,person,赵太后少子，后作为人质赴齐。
李牧,lǐ mù,person,赵国名将，抗击匈奴与秦军，后遭谗被杀。
郭开,guō kāi,person,赵王迁宠臣，以谗言陷害李牧。
