term,pinyin,annotation
慷爽,kāng shuǎng,慷慨爽直。
廉隅,lián yú,品行端方，有操守。
兰若,lán rě,佛寺；梵语音译“阿兰若”的简称。
扃键,jiōng jiàn,门户的锁闩。
幽杳,yōu yǎo,幽深寂静。
侨居,qiáo jū,寄居他乡。
藉藁,jiè gǎo,以草秸铺垫。
喁喁,yú yú,低声细语的样子。
鲐背,tái bèi,老人背上有如鲐鱼纹，借指年老。
龙钟,lóng zhōng,年老体衰、行动不便。
蹙蹙,cù cù,忧愁不舒展的样子。
訾,zǐ,说人坏话，诋毁。
燕好,yàn hǎo,男女亲昵欢好。
囊橐,náng tuó,袋子；此处泛指行囊。
诘旦,jié dàn,次日清晨。
夭殂,yāo cú,年幼早死。
腆颜,tiǎn yán,厚着脸，含羞惭之意。
狎昵,xiá nì,亲近而态度不庄重。
罗刹,luó chà,佛教传说中的恶鬼。
不啻,bù chì,不只，不异于。
辰后,chén hòu,辰时以后。
耽寂,dān jì,喜爱清静。
箧襆,qiè fú,箱笼包袱。
齁,hōu,熟睡时的鼾声。
睒闪,shǎn shǎn,目光闪动的样子。
欻然,xū rán,忽然、迅疾的样子。
石棂,shí líng,石制窗格。
魑魅,chī mèi,山林中的鬼怪，泛指邪祟。
祖帐,zǔ zhàng,古人出行时设帐饯别。
殷渥,yīn wò,情意深厚。
姑嫜,gū zhāng,丈夫的父母。
媵御,yìng yù,陪嫁侍妾或侍奉者。
承祧,chéng tiāo,继承宗庙香火。
尸饔,shī yōng,主持烹饪，料理饮食。
匜,yí,古代盥洗时盛水的器具。
劬,qú,劳苦。
觌,dí,相见、会面。
怔忡,zhēng chōng,心悸不安。
合篑,hé kuì,像合拢的大筐一样大。
亢宗,kàng zōng,光大宗族。
𪑦,yè,左“黑”右“曷”的罕见字；读 yè，见于《康熙字典·黑部》与《集韵》。
掇,duō,"掇 | duō | | 粵拼 zyut3 輟 |
① 拾取；選取
拾掇 | 掇擷 | 掇採所聞。
② 〈方言。〉搬；端取
掇條凳子 | 掇盆洗臉水。
③ 量詞。撮。用於少許成堆的東西
一掇細沙。"
墀,chí,"墀 chí
〈文〉
①名 台阶上的地面。
阶墀
②名 泛指台阶。
丹墀"
襆,fú,"襆 | fú | | 粵拼 fuk6 服 |
① 包裹，包袱。
② 覆蓋或包紮衣物等用的布單。"
觇,chān,"觇 chān （覘）
〈文〉
动 窥视；察看。
觇候 | 觇标"
迨,dài,"迨 dài
〈文〉
介 趁着。
迨其未毕济（渡河）而击之。"
赁,lìn,"赁 lìn （賃）
①动 租用；出租。
这辆车是赁的 | 赁出两间房
②名 姓。"
帚,zhǒu,"帚 （箒） | zhǒu | | 粵拼 zau2 走 |
掃除塵土、垃圾或洗刷污物的工具
掃帚 | 笤帚 | 用炊帚洗刷炊具。"
㑌,kuáng,从亻、匡声；古籍中可作“尫”的异体，表示身体弯曲或羸弱。
欻,xū,"z欻
1 | xū | | 粵拼 fat1 忽 |
① 忽然
暴雨欻至。
② 動作迅疾的樣子
欻忽 | 欻吸。
2 | chuā | | 粵拼 caa1 差 |
形容物體碰擦的聲音
儀仗隊欻欻地正步走過來。"
攫,jué,"攫 | jué | | 粵拼 fok3 霍 |
抓取；奪取
攫為己有。"
