term,pinyin,annotation,type
瞒天过海,mán tiān guò hǎi,用反复公开的行动掩盖真实企图。,stratagem
围魏救赵,wéi wèi jiù zhào,攻击敌人后方以迫使其解围。,stratagem
以逸待劳,yǐ yì dài láo,养精蓄锐，等待疲惫之敌。,stratagem
趁火打劫,chèn huǒ dǎ jié,乘对方危急混乱时取利。,stratagem
暗渡陈仓,àn dù chén cāng,正面迷惑敌人，暗中另走通道。,stratagem
李代桃僵,lǐ dài táo jiāng,以局部牺牲换取全局利益；僵指枯死。,stratagem
打草惊蛇,dǎ cǎo jīng shé,行动不慎使对方有所警觉。,stratagem
借尸还魂,jiè shī huán hún,借用无力自行作为的事物达到目的。,stratagem
欲擒故纵,yù qín gù zòng,为彻底控制对方而暂时放松。,stratagem
釜底抽薪,fǔ dǐ chōu xīn,从根本上消除问题或力量来源。,stratagem
金蝉脱壳,jīn chán tuō qiào,保留表面形态，暗中转移撤离；壳读 qiào。,stratagem
假道伐虢,jiǎ dào fá guó,借路去攻打第三方，继而吞并借路者。,stratagem
指桑骂槐,zhǐ sāng mà huái,表面责骂一方，实际警告另一方。,stratagem
假痴不癫,jiǎ chī bù diān,故意装作痴愚而内心保持清醒。,stratagem
反客为主,fǎn kè wéi zhǔ,由被动地位逐步转为掌握主动。,stratagem
反间计,fǎn jiàn jì,利用敌方间谍或离间敌方内部。,stratagem
胁以从,xié yǐ cóng,以威势迫使对方服从。,classical_phrase
云雷屯,yún léi zhūn,《易》屯卦之象；屯在此读 zhūn。,classical_phrase
伺隙捣虚,sì xì dǎo xū,等待空隙，攻击薄弱之处。,classical_phrase
乘隙,chéng xì,利用对方的空隙或漏洞。,classical_word
乾,qián,《易经》卦名，象征天与刚健。,classical_word
坤,kūn,《易经》卦名，象征地与柔顺。,classical_word
屯,zhūn,《易经》卦名，表示初生艰难；作卦名读 zhūn。,classical_word
萃,cuì,《易经》卦名，有聚集之意。,classical_word
蹇,jiǎn,《易经》卦名，有艰难、阻滞之意。,classical_word
巽,xùn,《易经》卦名，象征风与顺入。,classical_word
兑,duì,《易经》卦名，象征泽与喜悦。,classical_word
蛊,gǔ,《易经》卦名；本义为器中虫害，引申为败坏。,rare_word
睢,suī,地名或姓氏用字；依原文典故理解。,rare_word
咎,jiù,灾祸、罪过或不利后果。,classical_word
攸,yōu,所；文言助词。,classical_word
孚,fú,诚信，使人信服。,classical_word
戾,lì,乖张、违背或罪过。,rare_word
恣,zì,放纵、不加约束。,classical_word
曳,yè,拖、牵引。,rare_word
匪,fěi,非、不是；文言否定词。,classical_word
诳,kuáng,欺骗、迷惑。,rare_word
乖,guāi,违背、不协调。,classical_word
摧,cuī,折断、毁坏。,classical_word
颓,tuí,衰败、倒塌。,classical_word
魁,kuí,首领；也指高大突出。,classical_word
鸿,hóng,大雁；也引申为宏大。,classical_word
