sequence,period_id,period_order,period_title,date_original,battle_title,source_url,source_note,reliability,raw_text
552,qin_han,6,秦汉（前221－220）,前209年,秦末民变,https://zh.wikipedia.org/wiki/%E7%A7%A6%E6%9C%AB%E6%B0%91%E5%8F%98,,未分级,前209年－ 秦末民变
553,qin_han,6,秦汉（前221－220）,前209年,戏之战,https://zh.wikipedia.org/wiki/%E6%88%8F%E4%B9%8B%E6%88%98,,未分级,前209年－ 戏之战
554,qin_han,6,秦汉（前221－220）,前208年,项羽、刘邦灭秦之战,https://zh.wikipedia.org/wiki/%E9%A1%B9%E7%BE%BD%E3%80%81%E5%88%98%E9%82%A6%E7%81%AD%E7%A7%A6%E4%B9%8B%E6%88%98,,未分级,前208年－ 项羽、刘邦灭秦之战
555,qin_han,6,秦汉（前221－220）,前207年,巨鹿之战,https://zh.wikipedia.org/wiki/%E5%B7%A8%E9%B9%BF%E4%B9%8B%E6%88%98,,未分级,前207年－ 巨鹿之战
556,qin_han,6,秦汉（前221－220）,前207年,漳污之战,https://zh.wikipedia.org/wiki/%E6%BC%B3%E6%B1%A1%E4%B9%8B%E6%88%98,,未分级,前207年－ 漳污之战
557,qin_han,6,秦汉（前221－220）,前206年,楚汉战争,https://zh.wikipedia.org/wiki/%E6%A5%9A%E6%B1%89%E6%88%98%E4%BA%89,前202年－  前206年－ 三秦战役 前206年－ 陈仓之战 前205年－ 彭城之战 前205年－ 成皋之战 （ 史记 《 高祖本纪 》、史记《 项羽本纪 》记载矛盾，从 历史地理学 看史记《项羽本纪》可信度高） 前205年－ 刘贾 、 彭越 联军进攻西楚之战（汉第一次与彭越联合） 前205年－ 韩信破代、赵、燕、齐之战 前205年－ 安邑之战 前204年－ 井陉之战 前203年－ 潍水之战 、韩信、彭越联军进攻西楚之战（汉第二次与彭越联合） 前202年－ 垓下之战,可信,前206年－前202年－ 楚汉战争 前206年－ 三秦战役 前206年－ 陈仓之战 前205年－ 彭城之战 前205年－ 成皋之战 （ 史记 《 高祖本纪 》、史记《 项羽本纪 》记载矛盾，从 历史地理学 看史记《项羽本纪》可信度高） 前205年－ 刘贾 、 彭越 联军进攻西楚之战（汉第一次与彭越联合） 前205年－ 韩信破代、赵、燕、齐之战 前205年－ 安邑之战 前204年－ 井陉之战 前203年－ 潍水之战 、韩信、彭越联军进攻西楚之战（汉第二次与彭越联合） 前202年－ 垓下之战
558,qin_han,6,秦汉（前221－220）,前206年,三秦战役,https://zh.wikipedia.org/wiki/%E4%B8%89%E7%A7%A6%E6%88%B0%E5%BD%B9,,未分级,前206年－ 三秦战役
559,qin_han,6,秦汉（前221－220）,前206年,陈仓之战,https://zh.wikipedia.org/wiki/%E9%99%88%E4%BB%93%E4%B9%8B%E6%88%98,,未分级,前206年－ 陈仓之战
560,qin_han,6,秦汉（前221－220）,前205年,彭城之战,https://zh.wikipedia.org/wiki/%E5%BD%AD%E5%9F%8E%E4%B9%8B%E6%88%B0,,未分级,前205年－ 彭城之战
561,qin_han,6,秦汉（前221－220）,前205年,成皋之战,https://zh.wikipedia.org/wiki/%E6%88%90%E7%9A%8B%E4%B9%8B%E6%88%98,（ 史记 《 高祖本纪 》、史记《 项羽本纪 》记载矛盾，从 历史地理学 看史记《项羽本纪》可信度高）,可信,前205年－ 成皋之战 （ 史记 《 高祖本纪 》、史记《 项羽本纪 》记载矛盾，从 历史地理学 看史记《项羽本纪》可信度高）
562,qin_han,6,秦汉（前221－220）,前205年,刘贾,https://zh.wikipedia.org/wiki/%E5%8A%89%E8%B3%88,、 彭越 联军进攻西楚之战（汉第一次与彭越联合）,未分级,前205年－ 刘贾 、 彭越 联军进攻西楚之战（汉第一次与彭越联合）
563,qin_han,6,秦汉（前221－220）,前205年,韩信破代、赵、燕、齐之战,https://zh.wikipedia.org/wiki/%E9%9F%A9%E4%BF%A1%E7%A0%B4%E4%BB%A3%E3%80%81%E8%B5%B5%E3%80%81%E7%87%95%E3%80%81%E9%BD%90%E4%B9%8B%E6%88%98,,未分级,前205年－ 韩信破代、赵、燕、齐之战
564,qin_han,6,秦汉（前221－220）,前205年,安邑之战,https://zh.wikipedia.org/wiki/%E5%AE%89%E9%82%91%E4%B9%8B%E6%88%B0,,未分级,前205年－ 安邑之战
565,qin_han,6,秦汉（前221－220）,前204年,井陉之战,https://zh.wikipedia.org/wiki/%E4%BA%95%E9%99%89%E4%B9%8B%E6%88%98,,未分级,前204年－ 井陉之战
566,qin_han,6,秦汉（前221－220）,前203年,潍水之战,https://zh.wikipedia.org/wiki/%E6%BD%8D%E6%B0%B4%E4%B9%8B%E6%88%98,、韩信、彭越联军进攻西楚之战（汉第二次与彭越联合）,未分级,前203年－ 潍水之战 、韩信、彭越联军进攻西楚之战（汉第二次与彭越联合）
567,qin_han,6,秦汉（前221－220）,前202年,垓下之战,https://zh.wikipedia.org/wiki/%E5%9E%93%E4%B8%8B%E4%B9%8B%E6%88%98,,未分级,前202年－ 垓下之战
568,qin_han,6,秦汉（前221－220）,前201年,汉匈战争,https://zh.wikipedia.org/wiki/%E6%BC%A2%E5%8C%88%E6%88%B0%E7%88%AD,前36年,未分级,前201年－前36年－ 汉匈战争
569,qin_han,6,秦汉（前221－220）,前200年,白登之战,https://zh.wikipedia.org/wiki/%E7%99%BD%E7%99%BB%E4%B9%8B%E6%88%98,,未分级,前200年－ 白登之战
570,qin_han,6,秦汉（前221－220）,前180年,诸吕之乱,https://zh.wikipedia.org/wiki/%E8%AF%B8%E5%90%95%E4%B9%8B%E4%B9%B1,,未分级,前180年－ 诸吕之乱
571,qin_han,6,秦汉（前221－220）,前154年,七国之乱,https://zh.wikipedia.org/wiki/%E4%B8%83%E5%9C%8B%E4%B9%8B%E4%BA%82,,未分级,前154年－ 七国之乱
572,qin_han,6,秦汉（前221－220）,前154年,下邑之战,https://zh.wikipedia.org/wiki/%E4%B8%8B%E9%82%91%E4%B9%8B%E6%88%98,,未分级,前154年－ 下邑之战
573,qin_han,6,秦汉（前221－220）,前144年,上郡之战,https://zh.wikipedia.org/wiki/%E4%B8%8A%E9%83%A1%E4%B9%8B%E6%88%98,,未分级,前144年－ 上郡之战
574,qin_han,6,秦汉（前221－220）,前133年,马邑之战,https://zh.wikipedia.org/wiki/%E9%A9%AC%E9%82%91%E4%B9%8B%E6%88%98,,未分级,前133年－ 马邑之战
575,qin_han,6,秦汉（前221－220）,前127年,河南之战,https://zh.wikipedia.org/wiki/%E6%B2%B3%E5%8D%97%E4%B9%8B%E6%88%98,,未分级,前127年－ 河南之战
576,qin_han,6,秦汉（前221－220）,前124年,漠南之战,https://zh.wikipedia.org/wiki/%E6%BC%A0%E5%8D%97%E4%B9%8B%E6%88%98,,未分级,前124年－ 漠南之战
577,qin_han,6,秦汉（前221－220）,前121年,河西之战,https://zh.wikipedia.org/wiki/%E6%B2%B3%E8%A5%BF%E4%B9%8B%E6%88%B0,,未分级,前121年－ 河西之战
578,qin_han,6,秦汉（前221－220）,前119年,漠北之战,https://zh.wikipedia.org/wiki/%E6%BC%A0%E5%8C%97%E4%B9%8B%E6%88%98,,未分级,前119年－ 漠北之战
579,qin_han,6,秦汉（前221－220）,年代未详,汉朝的向南扩张,https://zh.wikipedia.org/wiki/%E6%B1%89%E6%9C%9D%E7%9A%84%E5%90%91%E5%8D%97%E6%89%A9%E5%BC%A0,,未分级,汉朝的向南扩张
580,qin_han,6,秦汉（前221－220）,前112年冬,汉平南越之战,https://zh.wikipedia.org/wiki/%E6%B1%89%E5%B9%B3%E5%8D%97%E8%B6%8A%E4%B9%8B%E6%88%98,,未分级,前112年冬－ 汉平南越之战
581,qin_han,6,秦汉（前221－220）,前111年冬,汉平东越之战,https://zh.wikipedia.org/wiki/%E6%BC%A2%E5%B9%B3%E6%9D%B1%E8%B6%8A%E4%B9%8B%E6%88%B0,,未分级,前111年冬－ 汉平东越之战
582,qin_han,6,秦汉（前221－220）,前111年,汉平西羌之战,https://zh.wikipedia.org/wiki/%E6%B1%89%E5%B9%B3%E8%A5%BF%E7%BE%8C%E4%B9%8B%E6%88%98,前110年,未分级,前111年－前110年－ 汉平西羌之战
583,qin_han,6,秦汉（前221－220）,前108年,汉灭朝鲜之战,https://zh.wikipedia.org/wiki/%E6%B1%89%E7%81%AD%E6%9C%9D%E9%B2%9C%E4%B9%8B%E6%88%98,,未分级,前108年－ 汉灭朝鲜之战
584,qin_han,6,秦汉（前221－220）,前102年,汉攻大宛之战,https://zh.wikipedia.org/wiki/%E6%B1%89%E6%94%BB%E5%A4%A7%E5%AE%9B%E4%B9%8B%E6%88%98,,未分级,前102年－ 汉攻大宛之战
585,qin_han,6,秦汉（前221－220）,前99年,浚稽山之战,https://zh.wikipedia.org/wiki/%E6%B5%9A%E7%A8%BD%E5%B1%B1%E4%B9%8B%E6%88%98,,未分级,前99年－ 浚稽山之战
586,qin_han,6,秦汉（前221－220）,前90年,燕然山之战,https://zh.wikipedia.org/wiki/%E7%87%95%E7%84%B6%E5%B1%B1%E4%B9%8B%E6%88%98,,未分级,前90年－ 燕然山之战
587,qin_han,6,秦汉（前221－220）,前61年,赵充国平西羌之战,https://zh.wikipedia.org/wiki/%E8%B5%B5%E5%85%85%E5%9B%BD%E5%B9%B3%E8%A5%BF%E7%BE%8C%E4%B9%8B%E6%88%98,,未分级,前61年－ 赵充国平西羌之战
588,qin_han,6,秦汉（前221－220）,前36年,郅支之战,https://zh.wikipedia.org/wiki/%E9%83%85%E6%94%AF%E4%B9%8B%E6%88%98,,未分级,前36年－ 郅支之战
589,qin_han,6,秦汉（前221－220）,17年,绿林起义,https://zh.wikipedia.org/wiki/%E7%BB%BF%E6%9E%97%E8%B5%B7%E4%B9%89,25年,未分级,17年－25年－ 绿林起义
590,qin_han,6,秦汉（前221－220）,18年,赤眉起义,https://zh.wikipedia.org/wiki/%E8%B5%A4%E7%9C%89%E5%86%9B,27年,未分级,18年－27年－ 赤眉起义
591,qin_han,6,秦汉（前221－220）,22年,成昌之战,https://zh.wikipedia.org/wiki/%E6%88%90%E6%98%8C%E4%B9%8B%E6%88%98,,未分级,22年－ 成昌之战
592,qin_han,6,秦汉（前221－220）,23年,昆阳之战,https://zh.wikipedia.org/wiki/%E6%98%86%E9%99%BD%E4%B9%8B%E6%88%B0,,未分级,23年－ 昆阳之战
593,qin_han,6,秦汉（前221－220）,26年,杜陵之战,https://zh.wikipedia.org/wiki/%E6%9D%9C%E9%99%B5%E4%B9%8B%E6%88%98,,未分级,26年－ 杜陵之战
594,qin_han,6,秦汉（前221－220）,27年,湖县之战,https://zh.wikipedia.org/wiki/%E6%B9%96%E5%8E%BF%E4%B9%8B%E6%88%98,,未分级,27年－ 湖县之战
595,qin_han,6,秦汉（前221－220）,27年,崤底之战,https://zh.wikipedia.org/wiki/%E5%B4%A4%E5%BA%95%E4%B9%8B%E6%88%98,,未分级,27年－ 崤底之战
596,qin_han,6,秦汉（前221－220）,27年,宜阳之战,https://zh.wikipedia.org/wiki/%E5%AE%9C%E9%98%B3%E4%B9%8B%E6%88%98,,未分级,27年－ 宜阳之战
597,qin_han,6,秦汉（前221－220）,23年,刘秀统一河北之战,https://zh.wikipedia.org/wiki/%E5%88%98%E7%A7%80%E7%BB%9F%E4%B8%80%E6%B2%B3%E5%8C%97%E4%B9%8B%E6%88%98,26年,未分级,23年－26年－ 刘秀统一河北之战
598,qin_han,6,秦汉（前221－220）,24年,刘秀攻关中、洛阳之战,https://zh.wikipedia.org/wiki/%E5%88%98%E7%A7%80%E6%94%BB%E5%85%B3%E4%B8%AD%E3%80%81%E6%B4%9B%E9%98%B3%E4%B9%8B%E6%88%98,27年,未分级,24年－27年－ 刘秀攻关中、洛阳之战
599,qin_han,6,秦汉（前221－220）,25年,东汉统一战争,https://zh.wikipedia.org/wiki/%E4%B8%9C%E6%B1%89%E7%BB%9F%E4%B8%80%E6%88%98%E4%BA%89,,未分级,25年－ 东汉统一战争
600,qin_han,6,秦汉（前221－220）,26年,东汉统一关东之战,https://zh.wikipedia.org/wiki/%E4%B8%9C%E6%B1%89%E7%BB%9F%E4%B8%80%E5%85%B3%E4%B8%9C%E4%B9%8B%E6%88%98,,未分级,26年－ 东汉统一关东之战
601,qin_han,6,秦汉（前221－220）,26年春,漳水之战,https://zh.wikipedia.org/wiki/%E6%BC%B3%E6%B0%B4%E4%B9%8B%E6%88%98,,未分级,26年春－ 漳水之战
