term,pinyin,type,annotation
韩信,hán xìn,person,西汉开国名将，封淮阴侯。
漂母,piǎo mǔ,person,在水边漂洗丝絮、曾赠饭给韩信的老妇。
袴下,kù xià,rare_word,胯下；“袴”同“裤”。
蒲伏,pú fú,rare_word,同“匍匐”，伏地爬行。
连敖,lián áo,office,楚汉之际掌管粮仓等事务的低级官职。
治粟都尉,zhì sù dū wèi,office,掌管粮食与军需的官职。
国士无双,guó shì wú shuāng,idiom,国家中独一无二的人才。
东乡,dōng xiàng,rare_word,面向东方；“乡”同“向”。
喑噁叱咤,yīn wù chì zhà,idiom,形容盛怒厉声呵斥、威势逼人。
呕呕,xū xū,rare_word,温和亲善的样子。
刓敝,wán bì,rare_word,摩挲磨损；文中形容印章把玩至磨损。
传檄,chuán xí,concept,传布檄文；形容声势所至、迅速平定。
木罂缻,mù yīng fǒu,artifact,以木制容器缚成的渡河器具。
井陉,jǐng xíng,place,太行山重要关隘，韩信破赵之战所在地。
背水陈,bèi shuǐ zhèn,concept,背靠河水列阵；“陈”同“阵”。
喋血,dié xuè,rare_word,形容杀伤很多、血流遍地。
辎重,zī zhòng,concept,军队携带的粮草、器械等物资。
裨将,pí jiàng,office,副将、偏将。
蒯通,kuǎi tōng,person,齐地辩士，曾劝韩信自立。
功无二於天下,gōng wú èr yú tiān xià,idiom,功劳天下无双。
略不世出,lüè bù shì chū,idiom,谋略世间罕见。
锺离眜,zhōng lí mò,person,项羽部将，后逃归韩信。
狡兔死,jiǎo tù sǐ,idiom,狡兔死后，猎狗也失去作用；与下句合喻事成后功臣遭弃。
良狗烹,liáng gǒu pēng,idiom,猎狗被烹杀；与“狡兔死”合喻事成后功臣遭弃。
高鸟尽,gāo niǎo jìn,idiom,高飞的鸟被射尽；与下句合喻敌患已经消除。
良弓藏,liáng gōng cáng,idiom,好弓被收藏不用；喻功臣在事成后失去作用。
鞅鞅,yàng yàng,rare_word,心中不满、不快的样子。
多多益善,duō duō yì shàn,idiom,越多越好。
蹠之狗吠尧,zhí zhī gǒu fèi yáo,idiom,各为其主；狗只因对方不是主人而吠。
蓐,rù,added,"蓐 | rù | | 粵拼 juk6 肉 |
① 草蓆；草墊子。
② 坐時鋪在身體下面的墊子
牀蓐。"
俛,fǔ,added,"俛[fǔ]
汉语汉字，读作fǔ或miăn，其本义为同“俯”，屈身；低头。"
彊,qiáng,added,同“强”；文中指强盛、强大。
涕泣,tì qì,added,编辑器中人工添加的阅读注音。
爨,cuàn,added,"爨 cuàn
〈文〉
①动 烧火做饭。
分爨 | 爨具
②名 炉灶。
厨爨
③名 姓。京西有一村名用此字。"
萆,bēi,added,"萆 bēi
萆薢 bēixiè 名
多年生藤本植物，叶略呈心脏形。根状茎可以做药材。
另见 bì；pì。"
临菑,lín zī,added,"临菑是古邑名,以城临菑水得名,故址在今山东淄博市东北旧临淄。"
濰,wéi,added,潍河
盱眙,xū yí,added,"盱眙县位于中华人民共和国江苏省西部，北临洪泽湖，为江苏省下辖县，现由淮安市管辖。邻接安徽省。古称临淮、泗州等。区域总面积为2,497.3 平方公里。"
雒,luò,added,"雒 | luò | | 粵拼 lok3 烙 |
同“洛”。洛河，水名，發源於陝西，流入河南。"
泜,zhī,added,"泜 zhī
名 泜河，水名，在河北，流入滏阳河。"
壅,yōng,added,"壅 yōng
①动 〈文〉堵塞。
壅塞（sè） | 壅闭
②动 〈文〉堆积。"
徵,zhēng,added,同“征”；文中指征召、调集。
櫜,gāo,added,櫜，汉语汉字，读作gāo，其本义为收藏盔甲、弓矢的器具。
鹓,yuān,added,"鹓 yuān （鵷）
鹓鶵 yuānchú 名
传说中凤凰一类的鸟。"
熛,biāo,added,"熛 biāo
〈文〉
动 火星迸飞。"
黡,yǎn,added,"黡 yǎn （黶）
〈文〉
名 黑痣。"
驩,huān,added,"欢 huān （歡）（懽）（讙）（驩）
①形 高兴；喜悦。
人欢马叫 | 悲欢离合
②形 兴奋；欢喜。
欢歌笑语 | 欢度佳节 | 欢聚
③名 古代女子对恋人的爱称；今泛指喜爱或与之有恋情的人。
另有新欢 | 不忘旧欢
④形 〈口〉活跃；带劲。
马跑得很欢 | 越干越欢
另见 huān“驩”。"
氂,lí,added,通“厘”；“豪氂”即“毫厘”，比喻极细微之处。
虿,chài,added,"虿 chài （蠆）
〈文〉
名 蝎子类毒虫。
蛊虿之谗（比喻恶人的谗言）。"
挈,qiè,added,"挈 qiè
〈文〉
①动 提起。
提纲挈领
②动 携带；率领。
扶老挈幼 | 挈眷 | 提挈
用法说明 统读 qiè，不读 qì 或 xié。"
绐,dài,added,"绐 dài （紿）
〈文〉
动 欺骗。"
戏下,huī xià,added,“戏下”（读作 huī xià 或 xì xià）是一个古代汉语词语，基本意思是在主帅的旗帜和指挥之下，引申指部下、下属。其中“戏”字通“麾”（指挥军队的旗帜）。词语详解读音：huī xià（常通“麾下”）或 xì xià字义：“戏”通“麾”，指将帅的旌旗；“下”表示在麾盖、麾下所属的位置。引申义：代指跟随在主帅身边的部将、部下。例如古代文献中常有“居戏下”（身处部属之中）的说法。
