term,pinyin,type,annotation
人祭,rén jì,concept,以人作为祭品的祭祀行为。
人殉,rén xùn,concept,以人随葬或陪葬的行为。
人牲,rén shēng,concept,被用于祭祀或献祭的人。
杀祭,shā jì,concept,通过杀人或杀牲举行的祭祀。
献祭,xiàn jì,concept,向神灵、祖先等奉献祭品。
殷墟,yīn xū,site_or_culture,晚商都邑遗址，甲骨卜辞的重要出土地。
殷商,yīn shāng,concept,商代后期以殷墟为中心的商王朝阶段。
殷都,yīn dū,site_or_culture,晚商都城，通常指安阳殷墟。
后冈H10,hòu gāng H10,site_or_culture,殷墟后冈圆形祭祀坑编号，文中复原其献祭过程。
王陵区,wáng líng qū,concept,王室墓葬和祭祀坑集中的区域。
宫殿区,gōng diàn qū,concept,都邑中宫殿和王室活动集中的区域。
祭祀坑,jì sì kēng,concept,考古遗址中用于祭祀、掩埋祭品或尸骨的坑穴。
灰坑,huī kēng,concept,遗址中含灰土、废弃物或祭祀遗存的坑穴。
坑口,kēng kǒu,concept,坑穴开口处的形状和范围。
坑壁,kēng bì,concept,坑穴侧壁。
坑底,kēng dǐ,concept,坑穴底部。
地层,dì céng,concept,遗址中不同时期堆积形成的层次。
填土,tián tǔ,concept,填入坑穴或遗迹中的土层。
红烧土,hóng shāo tǔ,concept,经火烧后变红变硬的土，常见于考古遗迹。
生土层,shēng tǔ céng,concept,未经人类扰动的天然土层。
朱砂,zhū shā,rare_word,红色矿物颜料，古代常用于礼仪和葬俗。
鬲,lì,artifact,古代陶制或青铜炊器，常见袋状足。
陶鬲,táo lì,artifact,陶制鬲，古代炊煮器。
骨笄,gǔ jī,artifact,骨制簪笄，用于束发。
玉璜,yù huáng,artifact,半璧形玉器。
海贝,hǎi bèi,artifact,贝壳，古代可作装饰、随葬品或货币。
货贝,huò bèi,artifact,作为货币使用的贝。
朋,péng,text,古代贝币单位，两系为一朋。
裘卫盆,qiú wèi pén,artifact,西周中期青铜器，铭文涉及贝币和土地交换。
戍嗣子,shù sì zǐ,person,青铜器铭文所见族长或贵族名号。
戍嗣子鼎,shù sì zǐ dǐng,bronze_item,后冈H10出土青铜鼎，铭文记载商王赏赐。
父癸,fù guǐ,person,商代祭祀对象名，文中见于戍嗣子鼎铭。
族徽,zú huī,text,族群标识，常见于商周青铜器铭文。
甲骨刻辞,jiǎ gǔ kè cí,text,刻在甲骨上的文字记录。
甲骨卜辞,jiǎ gǔ bǔ cí,text,刻写在龟甲兽骨上的占卜辞句。
卜辞,bǔ cí,text,占卜时刻写或记录的辞句。
《合集》,hé jí,text,《甲骨文合集》的简称。
羌,qiāng,text,甲骨文中常见族称，商王祭祀常用羌人。
