sequence,period_id,period_order,period_title,date_original,battle_title,source_url,source_note,reliability,raw_text
1345,ming_qing,18,明清战争（1618－1659）,年代未详,抚清之战,https://zh.wikipedia.org/wiki/%E6%92%AB%E6%B8%85%E4%B9%8B%E6%88%B0,（1618年）,未分级,抚清之战 （1618年）
1346,ming_qing,18,明清战争（1618－1659）,年代未详,萨尔浒之战,https://zh.wikipedia.org/wiki/%E8%90%A8%E5%B0%94%E6%B5%92%E4%B9%8B%E6%88%98,（1619年）,未分级,萨尔浒之战 （1619年）
1347,ming_qing,18,明清战争（1618－1659）,年代未详,宁远之战,https://zh.wikipedia.org/wiki/%E5%AE%81%E8%BF%9C%E4%B9%8B%E6%88%98,（1626年）,未分级,宁远之战 （1626年）
1348,ming_qing,18,明清战争（1618－1659）,年代未详,觉华岛之战,https://zh.wikipedia.org/wiki/%E8%A6%BA%E8%8F%AF%E5%B3%B6%E4%B9%8B%E6%88%B0,（1626年）,未分级,觉华岛之战 （1626年）
1349,ming_qing,18,明清战争（1618－1659）,年代未详,宁锦之战,https://zh.wikipedia.org/wiki/%E5%AE%81%E9%94%A6%E4%B9%8B%E6%88%98,（1627年）,未分级,宁锦之战 （1627年）
1350,ming_qing,18,明清战争（1618－1659）,清兵入塞 （1629年,清兵入塞,https://zh.wikipedia.org/wiki/%E6%B8%85%E5%85%B5%E5%85%A5%E5%A1%9E,,未分级,清兵入塞 （1629年－1642年）
1351,ming_qing,18,明清战争（1618－1659）,吴桥兵变 （1631年,吴桥兵变,https://zh.wikipedia.org/wiki/%E5%90%B3%E6%A9%8B%E5%85%B5%E8%AE%8A,,未分级,吴桥兵变 （1631年－1633年）
1352,ming_qing,18,明清战争（1618－1659）,松锦之战 （1639年,松锦之战,https://zh.wikipedia.org/wiki/%E6%9D%BE%E9%94%A6%E4%B9%8B%E6%88%98,,未分级,松锦之战 （1639年－1642年）
1353,ming_qing,18,明清战争（1618－1659）,年代未详,一片石之战,https://zh.wikipedia.org/wiki/%E4%B8%80%E7%89%87%E7%9F%B3%E4%B9%8B%E6%88%98,（1644年）,未分级,一片石之战 （1644年）
1354,ming_qing,18,明清战争（1618－1659）,清灭大顺之战 （1644年,清灭大顺之战,https://zh.wikipedia.org/wiki/%E6%B8%85%E7%81%AD%E5%A4%A7%E9%A1%BA%E4%B9%8B%E6%88%98,,未分级,清灭大顺之战 （1644年－1645年）
1355,ming_qing,18,明清战争（1618－1659）,年代未详,潼关之战,https://zh.wikipedia.org/wiki/%E6%BD%BC%E5%85%B3%E4%B9%8B%E6%88%98_(1644%E5%B9%B4),（1644年）,未分级,潼关之战 （1644年）
1356,ming_qing,18,明清战争（1618－1659）,清灭大西之战 （1645年,清灭大西之战,https://zh.wikipedia.org/wiki/%E6%B8%85%E7%81%AD%E5%A4%A7%E8%A5%BF%E4%B9%8B%E6%88%98,,未分级,清灭大西之战 （1645年－1646年）
1357,ming_qing,18,明清战争（1618－1659）,年代未详,扬州之战,https://zh.wikipedia.org/wiki/%E6%89%AC%E5%B7%9E%E4%B9%8B%E6%88%98,（1645年）,未分级,扬州之战 （1645年）
1358,ming_qing,18,明清战争（1618－1659）,清灭南明之战 （1645年,清灭南明之战,https://zh.wikipedia.org/wiki/%E6%B8%85%E7%81%AD%E5%8D%97%E6%98%8E%E4%B9%8B%E6%88%98,,未分级,清灭南明之战 （1645年－1662年）
1359,ming_qing,18,明清战争（1618－1659）,豪格平川陕之战 （1646年,豪格平川陕之战,https://zh.wikipedia.org/wiki/%E8%B1%AA%E6%A0%BC%E5%B9%B3%E5%B7%9D%E9%99%95%E4%B9%8B%E6%88%98,,未分级,豪格平川陕之战 （1646年－1648年）
1360,ming_qing,18,明清战争（1618－1659）,年代未详,博洛平福建之战,https://zh.wikipedia.org/wiki/%E5%8D%9A%E6%B4%9B%E5%B9%B3%E7%A6%8F%E5%BB%BA%E4%B9%8B%E6%88%98,（1646年）,未分级,博洛平福建之战 （1646年）
1361,ming_qing,18,明清战争（1618－1659）,郑成功抗清 （1646年,郑成功抗清,https://zh.wikipedia.org/wiki/%E9%83%91%E6%88%90%E5%8A%9F%E6%8A%97%E6%B8%85,,未分级,郑成功抗清 （1646年－1661年）
1362,ming_qing,18,明清战争（1618－1659）,年代未详,孔有德平湖南之战,https://zh.wikipedia.org/wiki/%E5%AD%94%E6%9C%89%E5%BE%B7%E5%B9%B3%E6%B9%96%E5%8D%97%E4%B9%8B%E6%88%98,（1647年）,未分级,孔有德平湖南之战 （1647年）
1363,ming_qing,18,明清战争（1618－1659）,年代未详,桂林之战,https://zh.wikipedia.org/wiki/%E6%A1%82%E6%9E%97%E4%B9%8B%E6%88%98,（1652年）,未分级,桂林之战 （1652年）
1364,ming_qing,18,明清战争（1618－1659）,年代未详,衡州之战,https://zh.wikipedia.org/wiki/%E8%A1%A1%E5%B7%9E%E4%B9%8B%E6%88%98,（1652年）,未分级,衡州之战 （1652年）
1365,ming_qing,18,明清战争（1618－1659）,清平贵州之战 （1657年,清平贵州之战,https://zh.wikipedia.org/wiki/%E6%B8%85%E5%B9%B3%E8%B4%B5%E5%B7%9E%E4%B9%8B%E6%88%98,,未分级,清平贵州之战 （1657年－1658年）
1366,ming_qing,18,明清战争（1618－1659）,清平云南之战 （1658年,清平云南之战,https://zh.wikipedia.org/wiki/%E6%B8%85%E5%B9%B3%E4%BA%91%E5%8D%97%E4%B9%8B%E6%88%98,,未分级,清平云南之战 （1658年－1659年）
