term,pinyin,type,annotation
商鞅,shāng yāng,person,即卫鞅、公孙鞅；秦孝公时变法者，受封商於十五邑后号商君。
庶孽,shù niè,concept,庶出之子；这里说明商鞅出身于卫国公族旁支。
刑名,xíng míng,concept,战国时重刑法、名实与权术的一派学说。
公叔痤,gōng shū cuó,person,魏国国相，商鞅早年所事之人。
中庶子,zhōng shù zǐ,office,古代官名，掌侍从等事。
柰,nài,rare_word,同“奈”；“将柰社稷何”即将把国家怎么办。
嘿然,mò rán,rare_word,沉默不语的样子；“嘿”通“默”。
禽,qín,rare_word,通“擒”；“见禽”指被捉拿。
缪公,mù gōng,person,即秦穆公；“缪”在谥号中读 mù。
景监,jǐng jiān,person,秦孝公宠臣，向孝公引荐卫鞅。
未中旨,wèi zhòng zhǐ,concept,尚未符合君主心意；“中”读 zhòng。
跶,dá,rare_word,移动、挪动；文中指孝公不觉把膝盖移近席前。
邑邑,yì yì,rare_word,忧郁不乐、迟疑不进的样子。
见敖,jiàn ào,rare_word,被轻视、嘲弄；“敖”通“傲”。
五伯,wǔ bà,concept,即春秋五霸；“伯”通“霸”。
杜挚,dù zhì,person,秦国大臣，变法辩论中主张法古循礼。
什伍,shí wǔ,concept,把民户按五家、十家编组并实行连坐的制度。
僇力,lù lì,rare_word,同“戮力”，合力、尽力；这里指努力从事农业。
收孥,shōu nú,concept,把本人连同妻子儿女没入官府为奴婢。
公子虔,gōng zǐ qián,person,秦国公族，太子之傅，因太子犯法而受刑。
黥,qíng,rare_word,在面上刺字并涂墨的刑罚。
大良造,dà liáng zào,office,秦国爵位兼官名，商鞅变法后受任。
冀阙,jì quē,artifact,"冀阙（拼音：jì quē）是源于战国时期的汉语词语，指代古代宫廷外围的门阙建筑。该词最早见于《史记·商君列传》，记载秦孝公命商鞅""作为筑冀阙宫庭于咸阳""，成为秦国迁都咸阳的标志性工程。其名称由""冀""（希望）与""阙""（城楼）组合而成，具有颁布政令的行政功能，司马贞《史记索隐》将其注释为""出列教令之门""。南朝文学家江淹曾以""冀阙缅纵横""等诗句描绘其建筑遗存。"
阡陌,qiān mò,concept,田间纵横道路；“开阡陌封疆”指整治田界。
权衡,quán héng,artifact,秤锤与秤杆，泛指衡量轻重的器具和制度。
胙,zuò,rare_word,祭祀所用的肉；天子赐胙表示礼遇和承认。
公子卬,gōng zǐ áng,person,魏国将领，被商鞅诱擒；“卬”在人名中读 áng。
五羖大夫,wǔ gǔ dà fū,person,即百里奚；“羖”指黑色公羊。
谔谔,è è,rare_word,直言争辩的样子。
遄死,chuán sǐ,rare_word,赶快死去；“遄”意为迅速。
骈胁,pián xié,rare_word,肋骨并合，古人视为勇力异相。
骖乘,cān shèng,office,陪乘在车右担任护卫的人；“乘”读 shèng。
闟戟,xī jǐ,artifact,古代长戟一类兵器；“闟”读 xī。
黾池,miǎn chí,place,古地名，即渑池；“黾”在此读 miǎn。
徇,xùn,rare_word,示众；文中指车裂商鞅后巡行示众。
干,gān,rare_word,求取、求见；“欲干孝公”指想求见并取信秦孝公。
闇,àn,added,"暗 àn （闇）（晻）
①形 光线微弱；不明亮（跟“明”相对）。
天色暗了 | 阴暗
②形 〈文〉糊涂；愚昧。
兼听则明，偏信则暗。
③形 隐藏的；不外露的。
暗沟 | 明人不做暗事
④副 秘密地；私下。
明察暗访 | 暗想
⑤形 颜色灰黑。
印堂发暗 | 暗红
用法说明 见“黯”。"
嬖,bì,added,受宠爱；“嬖人”指受君主宠幸的近臣。
