sequence,period_id,period_order,period_title,date_original,battle_title,source_url,source_note,reliability,raw_text
70,western_zhou,3,西周（前1046年－前771年）,前12世纪,周灭商的战争,https://zh.wikipedia.org/wiki/%E5%91%A8%E7%81%AD%E5%95%86%E7%9A%84%E6%88%98%E4%BA%89,前11世纪初－  前11世纪－ 周文王攻犬戎之战 （存疑、并无甲骨、金文记载） 前11世纪－ 周文王灭密须之战 （存疑、并无甲骨、金文记载） 前11世纪－ 周文王攻耆之战 （存疑、并无甲骨、金文记载） 前11世纪－ 周文王灭邗之战 （存疑、并无甲骨、金文记载） 前11世纪－ 周灭崇之战 （存疑、并无甲骨、金文记载） 前11世纪－姬姓、姜姓联合灭商 牧野之战 （ 利簋 ）（可信）,存疑,前12世纪－前11世纪初－ 周灭商的战争 前11世纪－ 周文王攻犬戎之战 （存疑、并无甲骨、金文记载） 前11世纪－ 周文王灭密须之战 （存疑、并无甲骨、金文记载） 前11世纪－ 周文王攻耆之战 （存疑、并无甲骨、金文记载） 前11世纪－ 周文王灭邗之战 （存疑、并无甲骨、金文记载） 前11世纪－ 周灭崇之战 （存疑、并无甲骨、金文记载） 前11世纪－姬姓、姜姓联合灭商 牧野之战 （ 利簋 ）（可信）
71,western_zhou,3,西周（前1046年－前771年）,前11世纪,周文王攻犬戎之战,https://zh.wikipedia.org/wiki/%E5%91%A8%E6%96%87%E7%8E%8B%E6%94%BB%E7%8A%AC%E6%88%8E%E4%B9%8B%E6%88%98,（存疑、并无甲骨、金文记载）,存疑,前11世纪－ 周文王攻犬戎之战 （存疑、并无甲骨、金文记载）
72,western_zhou,3,西周（前1046年－前771年）,前11世纪,周文王灭密须之战,https://zh.wikipedia.org/wiki/%E5%91%A8%E6%96%87%E7%8E%8B%E7%81%AD%E5%AF%86%E9%A1%BB%E4%B9%8B%E6%88%98,（存疑、并无甲骨、金文记载）,存疑,前11世纪－ 周文王灭密须之战 （存疑、并无甲骨、金文记载）
73,western_zhou,3,西周（前1046年－前771年）,前11世纪,周文王攻耆之战,https://zh.wikipedia.org/wiki/%E5%91%A8%E6%96%87%E7%8E%8B%E6%94%BB%E8%80%86%E4%B9%8B%E6%88%98,（存疑、并无甲骨、金文记载）,存疑,前11世纪－ 周文王攻耆之战 （存疑、并无甲骨、金文记载）
74,western_zhou,3,西周（前1046年－前771年）,前11世纪,周文王灭邗之战,https://zh.wikipedia.org/wiki/%E5%91%A8%E6%96%87%E7%8E%8B%E7%81%AD%E9%82%97%E4%B9%8B%E6%88%98,（存疑、并无甲骨、金文记载）,存疑,前11世纪－ 周文王灭邗之战 （存疑、并无甲骨、金文记载）
75,western_zhou,3,西周（前1046年－前771年）,前11世纪,周灭崇之战,https://zh.wikipedia.org/wiki/%E5%91%A8%E7%81%AD%E5%B4%87%E4%B9%8B%E6%88%98,（存疑、并无甲骨、金文记载）,存疑,前11世纪－ 周灭崇之战 （存疑、并无甲骨、金文记载）
76,western_zhou,3,西周（前1046年－前771年）,前11世纪,牧野之战,https://zh.wikipedia.org/wiki/%E7%89%A7%E9%87%8E%E4%B9%8B%E6%88%98,姬姓、姜姓联合灭商  （ 利簋 ）（可信）,可信,前11世纪－姬姓、姜姓联合灭商 牧野之战 （ 利簋 ）（可信）
77,western_zhou,3,西周（前1046年－前771年）,前11世纪,三监之乱,https://zh.wikipedia.org/wiki/%E4%B8%89%E7%9B%A3%E4%B9%8B%E4%BA%82,,未分级,前11世纪－ 三监之乱
78,western_zhou,3,西周（前1046年－前771年）,前11世纪,周公东征,https://zh.wikipedia.org/wiki/%E5%91%A8%E5%85%AC%E4%B8%9C%E5%BE%81,（ 周公东征方鼎 ）（可信）,可信,前11世纪－ 周公东征 （ 周公东征方鼎 ）（可信）
79,western_zhou,3,西周（前1046年－前771年）,前11世纪,周成王攻录国之战,https://zh.wikipedia.org/wiki/%E5%91%A8%E6%88%90%E7%8E%8B%E6%94%BB%E9%8C%84%E5%9C%8B%E4%B9%8B%E6%88%B0,（大保簋）,未分级,前11世纪－ 周成王攻录国之战 （大保簋）
80,western_zhou,3,西周（前1046年－前771年）,前11世纪,周康王攻鬼方之战,https://zh.wikipedia.org/wiki/%E5%91%A8%E5%BA%B7%E7%8E%8B%E6%94%BB%E9%AC%BC%E6%96%B9%E4%B9%8B%E6%88%98,（小盂鼎）,未分级,前11世纪－ 周康王攻鬼方之战 （小盂鼎）
81,western_zhou,3,西周（前1046年－前771年）,前10世纪,周昭王攻荆楚之战,https://zh.wikipedia.org/wiki/%E5%91%A8%E6%98%AD%E7%8E%8B%E6%94%BB%E8%8D%86%E6%A5%9A%E4%B9%8B%E6%88%98,（ 墙盘 ）（可信，金文称楚国为反荆）,可信,前10世纪－ 周昭王攻荆楚之战 （ 墙盘 ）（可信，金文称楚国为反荆）
82,western_zhou,3,西周（前1046年－前771年）,前10世纪,周昭王攻东夷之战,https://zh.wikipedia.org/wiki/%E5%91%A8%E6%98%AD%E7%8E%8B%E6%94%BB%E4%B8%9C%E5%A4%B7%E4%B9%8B%E6%88%98,,未分级,前10世纪－ 周昭王攻东夷之战
83,western_zhou,3,西周（前1046年－前771年）,前10世纪,周穆王攻犬戎之战,https://zh.wikipedia.org/wiki/%E5%91%A8%E7%A9%86%E7%8E%8B%E6%94%BB%E7%8A%AC%E6%88%8E%E4%B9%8B%E6%88%98,,未分级,前10世纪－ 周穆王攻犬戎之战
84,western_zhou,3,西周（前1046年－前771年）,前10世纪,周穆王攻徐之战,https://zh.wikipedia.org/wiki/%E5%91%A8%E7%A9%86%E7%8E%8B%E6%94%BB%E5%BE%90%E4%B9%8B%E6%88%98,,未分级,前10世纪－ 周穆王攻徐之战
85,western_zhou,3,西周（前1046年－前771年）,前10世纪,周穆王攻群舒之战,https://zh.wikipedia.org/wiki/%E5%91%A8%E7%A9%86%E7%8E%8B%E6%94%BB%E7%BE%A4%E8%88%92%E4%B9%8B%E6%88%98,,未分级,前10世纪－ 周穆王攻群舒之战
86,western_zhou,3,西周（前1046年－前771年）,前10世纪,周共王灭密之战,https://zh.wikipedia.org/wiki/%E5%91%A8%E5%85%B1%E7%8E%8B%E7%81%AD%E5%AF%86%E4%B9%8B%E6%88%98,,未分级,前10世纪－ 周共王灭密之战
87,western_zhou,3,西周（前1046年－前771年）,前9世纪,周懿王攻犬戎之战,https://zh.wikipedia.org/wiki/%E5%91%A8%E6%87%BF%E7%8E%8B%E6%94%BB%E7%8A%AC%E6%88%8E%E4%B9%8B%E6%88%98,,未分级,前9世纪－ 周懿王攻犬戎之战
88,western_zhou,3,西周（前1046年－前771年）,前9世纪,周孝王攻西戎之战,https://zh.wikipedia.org/wiki/%E5%91%A8%E5%AD%9D%E7%8E%8B%E6%94%BB%E8%A5%BF%E6%88%8E%E4%B9%8B%E6%88%98,,未分级,前9世纪－ 周孝王攻西戎之战
89,western_zhou,3,西周（前1046年－前771年）,前9世纪,周夷王攻太原戎之战,https://zh.wikipedia.org/wiki/%E5%91%A8%E5%A4%B7%E7%8E%8B%E6%94%BB%E5%A4%AA%E5%8E%9F%E6%88%8E%E4%B9%8B%E6%88%98,,未分级,前9世纪－ 周夷王攻太原戎之战
90,western_zhou,3,西周（前1046年－前771年）,前9世纪,武公攻????狁之战,https://zh.wikipedia.org/wiki/%E6%AD%A6%E5%85%AC%E6%94%BB%E7%8E%81%E7%8B%81%E4%B9%8B%E6%88%98,（多友鼎）,未分级,前9世纪－ 武公攻????狁之战 （多友鼎）
91,western_zhou,3,西周（前1046年－前771年）,前9世纪中,周厉王攻戎之战,https://zh.wikipedia.org/wiki/%E5%91%A8%E5%8E%89%E7%8E%8B%E6%94%BB%E6%88%8E%E4%B9%8B%E6%88%98,,未分级,前9世纪中－ 周厉王攻戎之战
92,western_zhou,3,西周（前1046年－前771年）,前9世纪中,周厉王与鄂侯之战,https://zh.wikipedia.org/wiki/%E5%91%A8%E5%8E%89%E7%8E%8B%E4%B8%8E%E9%84%82%E4%BE%AF%E4%B9%8B%E6%88%98,（禹鼎，规模极大，堪称举国决战，但是史书缺少记载）,未分级,前9世纪中－ 周厉王与鄂侯之战 （禹鼎，规模极大，堪称举国决战，但是史书缺少记载）
