term,pinyin,type,annotation
周公,zhōu gōng,person,周公旦，周初政治家。
孔子,kǒng zǐ,person,春秋时期思想家、教育家，儒家学派的重要奠基者。
华夏文明,huá xià wén míng,concept,在中国早期历史中逐渐形成和发展的文明传统。
神权,shén quán,concept,以神灵或宗教权威支配社会政治生活的权力形态。
六经,liù jīng,text,传统所称《诗》《书》《礼》《乐》《易》《春秋》。
诗经,shī jīng,text,中国古代诗歌总集，儒家经典之一。
尚书,shàng shū,text,保存上古政治文献和诰命的儒家经典。
易经,yì jīng,text,以六十四卦及卦爻辞为主体的古代经典。
易传,yì zhuàn,text,解释《易经》的传文总称。
逸周书,yì zhōu shū,text,保存周代逸篇和历史材料的古书。
象传,xiàng zhuàn,text,《易传》中解释卦象和爻象的篇章。
彖传,tuàn zhuàn,text,《易传》中解释卦名与卦义的篇章。
韦编三绝,wéi biān sān jué,idiom,形容反复研读典籍、十分勤奋。
服膺,fú yīng,rare_word,铭记在心并衷心信服。
诠释,quán shì,rare_word,解释并阐明意义。
神权退场,shén quán tuì chǎng,concept,宗教神权不再主导社会和政治生活。
贵族政治,guì zú zhèng zhì,concept,由世袭贵族掌握主要权力的政治形态。
儒家,rú jiā,concept,以孔子思想及相关经典传统为核心的学派。
春秋,chūn qiū,text,孔子时代相关的编年史经典。
周易,zhōu yì,text,《易经》与后世《易传》合称的经典。
忖度,cǔn duó,rare_word,估量、推测；“度”在这里读 duó。
佾,yì,rare_word,古代乐舞的行列；《八佾》为《论语》篇名。
