term,pinyin,annotation,type
徼,jiào,边界；此处指事物显现出来的端倪。,rare_word
橐籥,tuó yuè,古代鼓风用的风箱；橐为外箱，籥为送风管。,rare_word
绵绵,mián mián,连续不绝、微而不竭的样子。,classical_word
揣而锐之,chuǎi ér ruì zhī,捶击并磨利器物；比喻锋芒太露。,classical_phrase
营魄,yíng pò,魂魄；一说营气与魂魄。,classical_word
专气,zhuān qì,专一精气，使身心柔和。,classical_word
涤除玄览,dí chú xuán lǎn,清除杂念，使内心明澈如镜。,classical_phrase
天门开阖,tiān mén kāi hé,感官或自然变化的开合。,classical_phrase
埏埴,shān zhí,揉和黏土制作陶器。,rare_word
毂,gǔ,车轮中心穿轴的圆木。,rare_word
宠辱若惊,chǒng rǔ ruò jīng,得宠和受辱都感到惊惧。,classical_phrase
夷,yí,看不见的无色状态。,classical_word
希,xī,听不见的无声状态。,classical_word
微,wēi,摸不着的无形状态。,classical_word
绳绳,shéng shéng,渺茫而不可穷尽的样子。,rare_word
惚恍,hū huǎng,若有若无、恍惚不定的样子。,rare_word
豫兮,yù xī,迟疑谨慎的样子。,classical_word
犹兮,yóu xī,警觉戒备的样子。,classical_word
俨兮,yǎn xī,庄重严肃的样子。,rare_word
涣兮,huàn xī,流散融解的样子。,rare_word
敦兮,dūn xī,敦厚质朴的样子。,classical_word
旷兮,kuàng xī,开阔豁达的样子。,classical_word
芸芸,yún yún,众多而蓬勃生长的样子。,classical_word
侮之,wǔ zhī,轻慢、蔑视他。,classical_word
唯之与阿,wéi zhī yǔ ē,恭敬应答与怠慢应答；阿读 ē。,classical_phrase
熙熙,xī xī,和乐热闹的样子。,classical_word
太牢,tài láo,古代以牛、羊、猪合祭的最高等级祭品。,classical_word
沌沌,dùn dùn,浑朴无知的样子。,rare_word
儽儽,léi léi,疲惫颓丧、无所归依的样子。,rare_word
澹兮,dàn xī,辽阔深远的样子。,rare_word
飂兮,liù xī,高风疾吹的样子。,rare_word
窈兮冥兮,yǎo xī míng xī,幽深昏远的样子。,classical_phrase
曲则全,qū zé quán,委曲反能保全。,classical_phrase
枉则直,wǎng zé zhí,弯曲反能伸直。,classical_phrase
洼则盈,wā zé yíng,低洼反能充盈。,classical_phrase
敝则新,bì zé xīn,破旧反能更新。,classical_phrase
企者不立,qǐ zhě bù lì,踮起脚跟的人不能久立；企在此读 qǐ。,classical_phrase
跨者不行,kuà zhě bù xíng,迈大步逞强的人反而走不远。,classical_phrase
辎重,zī zhòng,军队随行运输的物资车辆。,classical_word
善行，无辙跡,shàn xíng，wú zhé jì,善于行走者不留下车辙痕迹。,classical_phrase
筹策,chóu cè,古代计算用的筹码。,classical_word
关楗,guān jiàn,门闩；泛指关闭门户的器具。,rare_word
知其雄，守其雌,zhī qí xióng，shǒu qí cí,知道刚强却安守柔弱。,classical_phrase
谿,xī,山谷；同“溪”。,rare_word
忒,tè,差失、偏离。,rare_word
嘘,xū,缓慢吐气。,rare_word
羸,léi,瘦弱。,rare_word
恬淡,tián dàn,安静淡泊，不慕名利。,classical_word
不祥之器,bù xiáng zhī qì,不吉利的器物；此处指兵器。,classical_phrase
甘露,gān lù,甘美的露水，古人视为祥瑞。,classical_word
侯王,hóu wáng,诸侯与君王。,classical_word
譬道之在天下,pì dào zhī zài tiān xià,比喻大道在天下的归趋。,classical_phrase
歙之,xī zhī,使它收缩；歙读 xī。,rare_word
上德不德,shàng dé bù dé,最高的德不自以为有德。,classical_phrase
攘臂,ráng bì,捋起衣袖伸出手臂。,classical_word
前识,qián shí,预先的认识或智巧。,classical_word
侯王得一,hóu wáng dé yī,侯王得到“一”而成为天下准则。,classical_phrase
孤、寡、不榖,gū、guǎ、bù gǔ,古代诸侯自谦的称呼；榖通“谷”。,classical_phrase
琭琭如玉,lù lù rú yù,像美玉一样华美耀眼。,rare_word
珞珞如石,luò luò rú shí,像坚硬朴实的石头一样。,rare_word
大器晚成,dà qì wǎn chéng,重大的器物或人才需要长久才能成就。,classical_phrase
大音希声,dà yīn xī shēng,最大的声音反而听来无声。,classical_phrase
躁胜寒,zào shèng hán,运动可以克服寒冷。,classical_phrase
天下有道，却走马以粪,tiān xià yǒu dào，què zǒu mǎ yǐ fèn,天下安定时，战马退回田间用于耕作积肥。,classical_phrase
祸莫大于不知足,huò mò dà yú bù zhī zú,最大的祸患是贪得无厌。,classical_phrase
善摄生者,shàn shè shēng zhě,善于保养生命的人。,classical_phrase
兕虎,sì hǔ,犀牛与老虎；兕是古代所称的犀类猛兽。,rare_word
无所投其角,wú suǒ tóu qí jiǎo,没有地方可以施用它的角。,classical_phrase
塞其兑,sè qí duì,闭塞感官欲望的孔窍；兑指口或孔窍。,classical_phrase
挫其锐,cuò qí ruì,磨去锋芒。,classical_phrase
解其纷,jiě qí fēn,解除纷扰。,classical_phrase
和其光,hé qí guāng,收敛光耀。,classical_phrase
同其尘,tóng qí chén,混同于尘世。,classical_phrase
以正治国,yǐ zhèng zhì guó,用清静正道治理国家。,classical_phrase
以奇用兵,yǐ qí yòng bīng,用出奇制胜的方法作战。,classical_phrase
其政闷闷,qí zhèng mèn mèn,政治宽厚而不烦扰百姓。,classical_phrase
其政察察,qí zhèng chá chá,政治苛细严酷。,classical_phrase
方而不割,fāng ér bù gē,方正却不伤害别人。,classical_phrase
廉而不刿,lián ér bù guì,有棱角却不刺伤别人；刿指刺伤。,rare_word
直而不肆,zhí ér bù sì,正直却不放肆。,classical_phrase
光而不耀,guāng ér bù yào,光明却不炫耀。,classical_phrase
治大国，若烹小鲜,zhì dà guó，ruò pēng xiǎo xiān,治理大国如烹小鱼，不宜频繁翻扰。,classical_phrase
报怨以德,bào yuàn yǐ dé,用德来回应怨恨。,classical_phrase
其安易持,qí ān yì chí,局面安定时容易维持。,classical_phrase
其未兆易谋,qí wèi zhào yì móu,事情尚无征兆时容易谋划。,classical_phrase
其脆易泮,qí cuì yì pàn,事物脆弱时容易分解；泮同“判”。,classical_phrase
其微易散,qí wēi yì sàn,事物微小时容易消散。,classical_phrase
合抱之木,hé bào zhī mù,两臂才能合围的大树。,classical_phrase
九层之台,jiǔ céng zhī tái,九层高台；比喻宏大工程。,classical_phrase
千里之行,qiān lǐ zhī xíng,千里的远行。,classical_phrase
江海之所以能为百谷王,jiāng hǎi zhī suǒ yǐ néng wéi bǎi gǔ wáng,江海处下而能汇聚百川。,classical_phrase
被褐而怀玉,pī hè ér huái yù,穿粗布衣而怀藏美玉；比喻外朴内美。,classical_phrase
代大匠斲,dài dà jiàng zhuó,代替高明木匠砍削木材。,classical_phrase
民之饥,mín zhī jī,百姓遭受饥饿。,classical_phrase
柔弱处上,róu ruò chǔ shàng,柔弱的事物反居于上。,classical_phrase
受国之垢,shòu guó zhī gòu,承受国家的屈辱。,classical_phrase
受国不祥,shòu guó bù xiáng,承担国家的灾难。,classical_phrase
小国寡民,xiǎo guó guǎ mín,国家小而人民少。,classical_phrase
什伯之器,shí bǎi zhī qì,功效十倍百倍的器械。,classical_phrase
甘其食,gān qí shí,以自己的食物为甘美。,classical_phrase
美其服,měi qí fú,以自己的衣服为美。,classical_phrase
安其居,ān qí jū,安于自己的居所。,classical_phrase
乐其俗,lè qí sú,喜爱自己的风俗。,classical_phrase
