term,pinyin,type,annotation
范雎,fàn jū,person,战国时期魏人，后入秦为相，封应侯。
蔡泽,cài zé,person,燕人，游说范雎功成身退，后任秦相。
须贾,xū gǔ,person,魏国中大夫，范雎早年曾为其舍人。
魏齐,wèi qí,person,魏国相国，曾命人笞辱范雎。
郑安平,zhèng ān píng,person,救助范雎并协助其入秦的人。
王稽,wáng jī,person,秦国使者，秘密将范雎带入秦国。
应侯,yìng hóu,title,范雎在秦受封后的称号。
纲成君,gāng chéng jūn,title,蔡泽在秦国的封号。
穰侯,ráng hóu,person,魏冉的封号，秦昭王时权臣。
昭王,zhāo wáng,person,此篇主要指秦昭襄王。
谒者,yè zhě,official,负责传达、引见宾客的官员。
间行,jiàn xíng,phrase,从小路秘密行走。
睚眦,yá zì,idiom,极小的怨恨；睚眦必报指极小怨仇也要报复。
游说,yóu shuì,concept,周游诸侯国，以言辞劝说君主采纳政治主张。
远交近攻,yuǎn jiāo jìn gōng,strategy,结交远国而进攻邻国的战略。
长袖善舞,cháng xiù shàn wǔ,idiom,条件优越者更易施展才能。
多钱善贾,duō qián shàn gǔ,idiom,资本充足便于经营获利。
亢龙有悔,kàng lóng yǒu huǐ,quotation,《易》语，处于极盛而不知退会有悔恨。
日中则移,rì zhōng zé yí,quotation,太阳到中天便会西移，比喻盛极将衰。
功成身退,gōng chéng shēn tuì,concept,功业完成后及时退居，避免盛极而祸。
