term,pinyin,type,annotation
郦食其,lì yì jī,person,秦汉之际说客；“食其”在人名中读“异基”。
握齱,wò chuò,rare_word,局促拘谨，过分讲究细小礼节。
徇地,xùn dì,rare_word,带兵巡行并攻取地方。
溲溺,sōu niào,rare_word,小便；文中指在儒冠中撒尿。
传舍,zhuàn shè,rare_word,古代供往来人员住宿的驿舍。
倨床,jù chuáng,rare_word,傲慢地坐在床上。
长揖,cháng yī,concept,拱手高举、自上而下行礼，不跪拜。
辍洗,chuò xǐ,rare_word,停止洗脚。
摄衣,shè yī,rare_word,整理、提起衣襟。
从横,zòng héng,concept,合纵连横；战国时期的外交策略。
纠合,jiū hé,rare_word,集合、聚集。
旻,mín,rare_word,本指秋天或天空；此处旧本文字语义有疑，宜保留核读。
荥阳,xíng yáng,place,古地名，楚汉战争中的军事要地。
成皋,chéng gāo,place,古关塞名，在今河南荥阳一带。
敖仓,áo cāng,place,秦汉时位于荥阳附近的大型粮仓。
释耒,shì lěi,rare_word,放下耒耜，指农民停止耕作。
郤,xì,rare_word,同“却”，后退。
蜚狐,fēi hú,place,即飞狐口，古代险要通道。
东籓,dōng fān,concept,东方藩属；“籓”同“藩”。
戮力,lù lì,rare_word,合力、并力。
刓,wán,rare_word,削磨；文中指把印章摩挲把玩而迟迟不授。
方船,fāng chuán,rare_word,两船相并；文中形容船只成队而下。
井陉,jǐng xíng,place,太行山重要古关隘，在今河北井陉。
大行,tài háng,place,即太行山；古书常写作“大行”。
伏轼,fú shì,rare_word,俯身靠着车前横木，指乘车奔走游说。
亨,pēng,rare_word,同“烹”；文中指以鼎烹杀。
黥布,qíng bù,person,即英布，因受黥刑而得名。
弃市,qì shì,concept,古代在闹市执行死刑并陈尸示众。
尉他,wèi tuó,person,即赵佗；“尉”是姓，旧本文中“佗”亦作“他”。
魋结,zhuī jì,rare_word,同“椎髻”，把头发束成椎形发髻。
箕倨,jī jù,rare_word,两腿张开如簸箕而坐，表示轻慢无礼。
剖符,pōu fú,concept,剖分符契，古代帝王封授诸侯、功臣的凭证。
膏腴,gāo yú,rare_word,土地肥沃；也指富饶地区。
车轝,chē yú,rare_word,车辆；“轝”同“舆”。
剖泮,pōu pàn,rare_word,开辟、分开；“泮”同“判”。
橐中装,tuó zhōng zhuāng,rare_word,袋中财物，泛指出使所得资财。
乃公,nǎi gōng,rare_word,你老子、你父亲；汉代口语中的自称。
不怿,bù yì,rare_word,不高兴。
好畤,hào zhì,place,汉代县名，在今陕西乾县附近。
安车驷马,ān chē sì mǎ,concept,一车套四马，古代舒适而体面的车驾。
慁,hùn,rare_word,打扰、烦扰。
燕居,yàn jū,rare_word,闲居、退朝后在家休息。
交驩,jiāo huān,rare_word,结交欢好；“驩”同“欢”。
绛侯,jiàng hóu,person,周勃的封号。
藉甚,jí shèn,rare_word,声名盛大，远近皆知。
称制,chēng zhì,concept,代行皇帝职权，以皇帝名义发布命令。
硃建,zhū jiàn,person,平原君朱建；“硃”为“朱”的异体写法。
假贷,jiǎ dài,rare_word,借贷。
发丧,fā sāng,concept,办理并公布丧事。
闳籍孺,hóng jí rú,person,汉惠帝宠臣。
肉袒,ròu tǎn,rare_word,脱去上衣露出身体，古代表示请罪或谢罪。
自刭,zì jǐng,rare_word,割颈自杀。
踵军门,zhǒng jūn mén,rare_word,亲自来到军营门前；“踵”有到、至义。
瞋目,chēn mù,rare_word,瞪大眼睛，表示愤怒。
侧注冠,zè zhù guān,artifact,古代一种高冠，儒者所戴。
遽雪足,jù xuě zú,rare_word,赶紧擦净双脚；“遽”为急速，“雪”为拭除。
婴城,yīng chéng,rare_word,环城固守；婴，环绕。
慑怖,shè bù,rare_word,畏惧恐慌。
匿,nì,added,隐匿，匿名，匿名信
说客,shuì kè,added,外交家
