sequence,period_id,period_order,period_title,date_original,battle_title,source_url,source_note,reliability,raw_text
1188,mongol_conquests,15,蒙古征战（1189－1279）,1189年－1206年,成吉思汗统一蒙古之战,https://zh.wikipedia.org/wiki/%E6%88%90%E5%90%89%E6%80%9D%E6%B1%97%E7%9A%84%E5%B4%9B%E8%B5%B7,,未分级,成吉思汗统一蒙古之战 1189年－1206年
1189,mongol_conquests,15,蒙古征战（1189－1279）,1189年,十三翼之战,https://zh.wikipedia.org/wiki/%E5%8D%81%E4%B8%89%E7%BF%BC%E4%B9%8B%E6%88%98,,未分级,十三翼之战 1189年
1190,mongol_conquests,15,蒙古征战（1189－1279）,1202年秋,阔亦田之战,https://zh.wikipedia.org/wiki/%E9%98%94%E4%BA%A6%E7%94%B0%E4%B9%8B%E6%88%98,,未分级,阔亦田之战 1202年秋
1191,mongol_conquests,15,蒙古征战（1189－1279）,1203年春,合兰真沙陀-折折运都山之战,https://zh.wikipedia.org/wiki/%E5%90%88%E5%85%B0%E7%9C%9F%E6%B2%99%E9%99%80-%E6%8A%98%E6%8A%98%E8%BF%90%E9%83%BD%E5%B1%B1%E4%B9%8B%E6%88%98,,未分级,合兰真沙陀-折折运都山之战 1203年春
1192,mongol_conquests,15,蒙古征战（1189－1279）,1204年春,纳忽昏山-不黑都儿麻之战,https://zh.wikipedia.org/wiki/%E7%BA%B3%E5%BF%BD%E6%98%8F%E5%B1%B1-%E4%B8%8D%E9%BB%91%E9%83%BD%E5%84%BF%E9%BA%BB%E4%B9%8B%E6%88%98,,未分级,纳忽昏山-不黑都儿麻之战 1204年春
1193,mongol_conquests,15,蒙古征战（1189－1279）,1205年－1279年,蒙元统一中国,https://zh.wikipedia.org/wiki/%E8%92%99%E5%85%83%E7%BB%9F%E4%B8%80%E4%B8%AD%E5%9B%BD,,未分级,蒙元统一中国 1205年－1279年
1194,mongol_conquests,15,蒙古征战（1189－1279）,1205年－1227年,蒙古与西夏战争,https://zh.wikipedia.org/wiki/%E8%92%99%E5%8F%A4%E4%B8%8E%E8%A5%BF%E5%A4%8F%E6%88%98%E4%BA%89,,未分级,蒙古与西夏战争 1205年－1227年
1195,mongol_conquests,15,蒙古征战（1189－1279）,1211年－1234年,蒙金战争,https://zh.wikipedia.org/wiki/%E8%92%99%E9%87%91%E6%88%98%E4%BA%89,,未分级,蒙金战争 1211年－1234年
1196,mongol_conquests,15,蒙古征战（1189－1279）,1211年,边堡寨之战 （ 金界壕 ）,https://zh.wikipedia.org/wiki/%E8%BE%B9%E5%A0%A1%E5%AF%A8%E4%B9%8B%E6%88%98,,未分级,边堡寨之战 （ 金界壕 ） 1211年
1197,mongol_conquests,15,蒙古征战（1189－1279）,1211年,野狐岭会战,https://zh.wikipedia.org/wiki/%E9%87%8E%E7%8B%90%E5%B6%BA%E6%9C%83%E6%88%B0,,未分级,野狐岭会战 1211年
1198,mongol_conquests,15,蒙古征战（1189－1279）,1211年,红袄军抗金起义,https://zh.wikipedia.org/wiki/%E7%BA%A2%E8%A2%84%E5%86%9B,,未分级,红袄军抗金起义 1211年
1199,mongol_conquests,15,蒙古征战（1189－1279）,1213年－1214年,成吉思汗三路攻金之战,https://zh.wikipedia.org/wiki/%E6%88%90%E5%90%89%E6%80%9D%E6%B1%97%E4%B8%89%E8%B7%AF%E6%94%BB%E9%87%91%E4%B9%8B%E6%88%98,,未分级,成吉思汗三路攻金之战 1213年－1214年
1200,mongol_conquests,15,蒙古征战（1189－1279）,1214年,中都之战,https://zh.wikipedia.org/wiki/%E4%B8%AD%E9%83%BD%E4%B9%8B%E6%88%98,,未分级,中都之战 1214年
1201,mongol_conquests,15,蒙古征战（1189－1279）,1215年,北京之战,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E4%B9%8B%E6%88%98_(1215%E5%B9%B4),,未分级,北京之战 1215年
1202,mongol_conquests,15,蒙古征战（1189－1279）,1216年,潼关、南京之战,https://zh.wikipedia.org/wiki/%E6%BD%BC%E5%85%B3%E3%80%81%E5%8D%97%E4%BA%AC%E4%B9%8B%E6%88%98,,未分级,潼关、南京之战 1216年
1203,mongol_conquests,15,蒙古征战（1189－1279）,1217年,蒙古攻西辽之战,https://zh.wikipedia.org/wiki/%E8%92%99%E5%8F%A4%E6%94%BB%E8%A5%BF%E8%BE%BD%E4%B9%8B%E6%88%98,,未分级,蒙古攻西辽之战 1217年
1204,mongol_conquests,15,蒙古征战（1189－1279）,1219年－1224年,蒙古征服花剌子模 （蒙古第一次西征）,https://zh.wikipedia.org/wiki/%E8%92%99%E5%8F%A4%E5%BE%81%E6%9C%8D%E8%8A%B1%E5%89%8C%E5%AD%90%E6%A8%A1,,未分级,蒙古征服花剌子模 （蒙古第一次西征） 1219年－1224年
1205,mongol_conquests,15,蒙古征战（1189－1279）,1219年－1221年,河中之战,https://zh.wikipedia.org/wiki/%E8%92%99%E5%8F%A4%E6%B2%B3%E4%B8%AD%E4%B9%8B%E6%88%98,,未分级,河中之战 1219年－1221年
1206,mongol_conquests,15,蒙古征战（1189－1279）,1220年春,不花剌之战,https://zh.wikipedia.org/wiki/%E4%B8%8D%E8%8A%B1%E5%89%8C%E4%B9%8B%E6%88%98,,未分级,不花剌之战 1220年春
1207,mongol_conquests,15,蒙古征战（1189－1279）,1220年,撒麻儿罕之战,https://zh.wikipedia.org/wiki/%E6%92%92%E9%BA%BB%E5%84%BF%E7%BD%95%E4%B9%8B%E6%88%98,,未分级,撒麻儿罕之战 1220年
1208,mongol_conquests,15,蒙古征战（1189－1279）,1220年春,玉龙杰赤之战,https://zh.wikipedia.org/wiki/%E7%8E%89%E9%BE%99%E6%9D%B0%E8%B5%A4%E4%B9%8B%E6%88%98,,未分级,玉龙杰赤之战 1220年春
1209,mongol_conquests,15,蒙古征战（1189－1279）,1221年,内沙布儿之战,https://zh.wikipedia.org/wiki/%E5%86%85%E6%B2%99%E5%B8%83%E5%84%BF%E4%B9%8B%E6%88%98,,未分级,内沙布儿之战 1221年
1210,mongol_conquests,15,蒙古征战（1189－1279）,1221年秋,范延堡之战,https://zh.wikipedia.org/wiki/%E8%8C%83%E5%BB%B6%E5%A0%A1%E4%B9%8B%E6%88%98,,未分级,范延堡之战 1221年秋
1211,mongol_conquests,15,蒙古征战（1189－1279）,1221年,申河之战,https://zh.wikipedia.org/wiki/%E7%94%B3%E6%B2%B3%E4%B9%8B%E6%88%98,,未分级,申河之战 1221年
1212,mongol_conquests,15,蒙古征战（1189－1279）,1221年春夏,塔里寒之战,https://zh.wikipedia.org/wiki/%E5%A1%94%E9%87%8C%E5%AF%92%E4%B9%8B%E6%88%98,,未分级,塔里寒之战 1221年春夏
